Key;English;;;;;;;;;;;;;
AND_TRIGGER_STARTS; [SUB_A7]Y이하 전체 충족[SUB_A7]W;;;;;;;;;;;;;
OR; [SUB_A7]Y또는[SUB_A7]W;;;;;;;;;;;;;
partisan_rebels;유격대원;;;;;;;;;;;;;
partisan_rebels_title;유격대;;;;;;;;;;;;;
partisan_rebels_name;$COUNTRY$ 유격대;;;;;;;;;;;;;
partisan_rebels_desc;유격대는 일반적인 남녀들이 모여 형성한 저항조직으로, 유격전 활동 외에도 직접 기밀정보를 제공하고 탈출망을 유지하는 소규모 무장단체입니다. 유격대는 지역을 점령하면 60일 후에 해당 지역을 원래의 주인에게 돌려줄 것입니다.;;;;;;;;;;;;;
partisan_rebels_army;$COUNTRY$ 유격조직;;;;;;;;;;;;;
IS_NOT_RELIGION; 국교 ≠;;;;;;;;;;;;;
IS_RELIGION; 국교 =;;;;;;;;;;;;;
CULTURE_IS_NOT; 수용 문화 ≠;;;;;;;;;;;;;
CULTURE_IS; 수용 문화 =;;;;;;;;;;;;;
steam_transport;수송함;;;;;;;;;;;;;
commerce_raider;증기호위함;;;;;;;;;;;;;
oceanic;태평양제도 문화권;;;;;;;;;;;;;
levantine;그리스-카프카스 문화권;;;;;;;;;;;;;
turko_semitic;튀르크 문화권;;;;;;;;;;;;;
polish_culture_group;서슬라브 문화권;;;;;;;;;;;;;
BRIGADES_COMPARE_GREATER; 두 국가의 여단 수 차이 ≥ [SUB_A7]Y$VAL$[SUB_A7]!\n;;;;;;;;;;;;;
BRIGADES_COMPARE_SMALLER; 두 국가의 여단 수 차이 < [SUB_A7]Y$VAL$[SUB_A7]!\n;;;;;;;;;;;;;
jewish_group;유대교 신앙;;;;;;;;;;;;;
muslim;이슬람교 신앙;;;;;;;;;;;;;
christian;기독교 신앙;;;;;;;;;;;;;
eastern;비아브라함계 동방종교 신앙;;;;;;;;;;;;;
pagan;토속신앙;;;;;;;;;;;;;
jefferson_method_desc;분모수열법은 의석 배분에 있어 최대평균법을 사용하는 정당명부 비례대표제의 한 종류입니다. 비례대표제는 정당의 대략적인 득표수에 비례하는 의석 배분을 목표로 합니다. 예를 들어 한 정당이 3분의 1에 해당하는 표를 얻는다면 의석에서도 약 3분의 1을 차지해야 합니다. 그러나 일반적으로 이러한 믿음에 기초한 나눗셈은 자연수로 나누어 떨어지지 않는 의석 배분을 도출하기 때문에 정확한 비례성을 달성할 수 없습니다. 그 결과 정당들의 의석 배분이 가능하면 더 득표에 비례하도록 하는 여러 방식이 등장했습니다. 최대잉여법과 비교하면 분모수열법은 [SUB_A7]Y흩어진 소형 정당들 위에 군림하는 대형 정당 및 정당연합을 약간 선호합니다.[SUB_A7]W;;;;;;;;;;;;;
precious_goods;귀중품;;;;;;;;;;;;;
precious_goods_RGO_SIZE;귀중품 시장 규모;;;;;;;;;;;;;
PARTY_LOYALTY_EFFECT_DESC; [SUB_A7]Y$PROV$[SUB_A7]W의 [SUB_A7]Y$PARTY$[SUB_A7]W 애당심이 [SUB_A7]Y$VALUE$[SUB_A7]W 바뀝니다.\n;;;;;;;;;;;;;
MODIFY_RELATION_EFFECT; [SUB_A7]Y$SOURCE$[SUB_A7]!-[SUB_A7]Y$TARGET$[SUB_A7]! 관계가 $VALUE$ 바뀝니다.\n;;;;;;;;;;;;;
IS_NOT_ACCEPTED_CULTURE; ≠ 수용 문화;;;;;;;;;;;;;
canned_food_factory;통조림 공장;;;;;;;;;;;;;
