Key;English;;;;;;;;;;;;;
end_sikh_war_title;시크와의 휴전;;;;;;;;;;;;;
end_sikh_war_desc;영국인이 영국-시크 전쟁을 자신의 이해관계가 걸린 일로 간주하고 있으니 전쟁에 관여하지 말아야 합니다.;;;;;;;;;;;;;
found_niger_company_title;$COUNTRY$ 니제르회사 설립;;;;;;;;;;;;;
found_niger_company_desc;$CAPITAL$에서 고위 관료들이 개최한 회의가 끝나면서 $COUNTRY$ 정부는 $COUNTRY$ 니제르회사 수립 제안을 주요 행동 방침으로 정했습니다. 아프리카 회담을 계기로 식민지 경쟁이 심화되는 지금 니제르회사가 남부 니제르에 발판을 마련한다면 니제르 삼각주로의 확장이 탄력을 받을 수 있습니다. 부족한 것은 회사의 초기 자본금 뿐입니다.;;;;;;;;;;;;;
abolish_umar_pact_title;우마르 협정 폐기;;;;;;;;;;;;;
abolish_umar_pact_desc;우마르 협정은 7세기 이슬람교도와 시리아, 메소포타미아, 예루살렘의 기독교도가 맺은 협정으로 이후에 이슬람 법학 분야에서 공식적인 지위를 획득했습니다. 우마르 협정은 일반적으로 비이슬람교도의 권리 보장 및 제한에 대해 기술합니다. 비이슬람교도는 이슬람교의 지배를 받음으로써 개인, 가족, 소유물의 안전을 보장받습니다. 오늘날에도 비이슬람교도는 우마르 협정에 따라 종교와 지위를 보호받고, 자유롭게 관습을 유지하며 개종할 필요가 없으며 개종하지 않는 대가로 지즈야라는 인두세를 지불합니다. 우마르 협정의 폐기는 지즈야의 포기를 의미하지만, 비이슬람교도의 개종을 가능하게 하겠지만, 국내 비이슬람교도뿐만 아니라 다른 나라들도 격노하게 만들 되돌아올 수 없는 길입니다.;;;;;;;;;;;;;
partisan_flip_to_original_owner_title;유격대 승리;;;;;;;;;;;;;
partisan_flip_to_original_owner_desc;유격대가 승리했습니다.;;;;;;;;;;;;;
transfer_vassalage_title;주종관계 개편;;;;;;;;;;;;;
transfer_vassalage_desc;새로운 주인과 어울릴 때가 왔습니다.;;;;;;;;;;;;;
build_suez_canal_desc;극동 및 인도와의 무역에서 오랫동안 이어져 온 문제 중 하나는 그곳에 도달하려면 희망봉을 경유해야만 한다는 점입니다. 수에즈강을 관통하는 운하를 건설함으로써 아시아로의 여정에 걸리는 시간을 수십일 정도 줄이고 현대 공학의 놀라운 위업을 펼쳐야 합니다. 하지만 이 과업을 달성하려면 적어도 400만[SUB_A4] 의 비용이 들 것으로 추정됩니다.;;;;;;;;;;;;;
build_kiel_canal_desc;발트해와 북해를 잇는 운하를 건설하는 것은 국내의 운송에 엄청난 이익을 줄 것이고, 또 킬에 그러한 운하를 건설할 여력이 있습니다. 많고 구불구불한 경로를 가질 킬운하와 덴마크 섬들은 영국 해군과 같은 강력한 해군과 맞설 때 숨바꼭질을 할 수 있게끔 할 것이며 발트해에서의 $COUNTRY$의 입지 또한 크게 드높일 것입니다. 스카게라크해협과 카테갓 해협을 통해 배를 보내야만 하는 러시아와 달리 $COUNTRY$은 운하를 통해 빠르고 안전하게 통과할 수 있게 됩니다. 마지막으로, 더 중요한 것은 $COUNTRY$의 행동에 따라 그만큼 운하가 발트해와 북해를 하나의 바다로 바꿀 것이라는 점입니다. 발트해의 킬은 거대한 항구이지만, 북해의 빌헬름샤벤은 너무 작습니다. 예상 비용은 200만[SUB_A4] 입니다.;;;;;;;;;;;;;
build_panama_canal_desc;파나마지협을 가로지르는 운하에 대한 제안은 아마 파나마를 처음 발견했을 때로 거슬러 올라갈 것입니다. 남북아메리카 대륙을 하나로 묶기에 파나마보다 적합한 땅은 어디에도 없습니다. 그리고 현대 공학의 도움으로 대서양과 태평양 사이의 이동 시간을 며칠 단축할 수 있습니다. 하지만 이 공사는 시간이 오래 걸릴 것이고 적어도 2000만[SUB_A4] 의 비용이 들 것입니다.;;;;;;;;;;;;;
cotton_in_algiers_title;$YEAR$년 알제리산 목화 법령;;;;;;;;;;;;;
cotton_in_algiers_desc;목화에 대한 엄청난 수요의 맥락에서 $CAPITAL$의 $COUNTRY$ 정부가 $CAPITAL$에서의 면화 재배에 자극을 주는 일련의 법령을 통과시키기로 결정했습니다. 이 법령들은 국가에 대해 3년 동안 국내 재배업자의 모든 목화 작물을 높은 세계 가격과 달리 미리 정해진 가격으로 강제적으로 구입하도록 하는 의무를 규정합니다. 이 법령에 의거해 확정된 다른 조치의 중심축은 알제리에서 수확한 목화에 대해 2년 동안 수출 할증료를 $COUNTRY$에 부과하게끔 강제하는 것으로 나타났습니다.;;;;;;;;;;;;;
plantations_in_comoros_title;코모로 경제개혁;;;;;;;;;;;;;
plantations_in_comoros_desc;코모로는 주로 이슬람교도가 거주하는 마다가스카르 근처의 화산섬 군도입니다. 군도의 농업은 주민의 기본적인 필요에 맞춰져 있으나, $COUNTRY$의 지배 아래서 이러한 농업은 불필요합니다. 국내 투자자에게 섬을 개방하면 원주민들이 국내 자금으로 $CAPITAL$에서 큰 관심을 가지고 주시하는 새로운 환금작물과 상품을 생산할 것입니다.;;;;;;;;;;;;;
send_pleasantries_to_great_power_title;강대국에 대한 경의 표시;;;;;;;;;;;;;
send_pleasantries_to_great_power_desc;외세의 침략에게서 스스로를 지키고 싶다면, 세계로 눈을 돌려 동맹국을 물색해야 합니다. 강력한 동맹, 강대국 말입니다. $COUNTRY$의 대표적인 선물과 찬사, 사교적인 인사를 건낼 사절단을 강대국에 파견함으로써 그들의 환심을 살 수 있을 것이며, 그 강대국은 앞으로 $COUNTRY$의 주요 동맹국으로 자리잡을 수 있을 것입니다.;;;;;;;;;;;;;
rename_the_congo_desc;콩고 자유국은 $COUNTRY$ $MONARCHTITLE$의 개인 재산으로 확인됐습니다. 따라서 이제 이 지역을 탐험하고 약간의 개인적인 흔적을 남기는 것이 공정하고 합리적인 처사입니다.;;;;;;;;;;;;;
conscript_fishermen_title;어선 징발;;;;;;;;;;;;;
conscript_fishermen_desc;$COUNTRY$은 상비해군이 필요하지 않습니다. 때가 되면 배를 수척 만들고 상선과 어선을 징발해 화기를 장착하면 됩니다. 지금이 그 때입니다. 이제는 $COUNTRY$ 국민이 나서서 이 나라를 지킬 때입니다.;;;;;;;;;;;;;
unlock_crisis_in_1870_title;1870년대에 분쟁 잠금해제;;;;;;;;;;;;;
unlock_crisis_in_1870_desc;HPM 구버전에서는 한 국가가 혁명 및 반혁명 연구를 하는 즉시 분쟁을 해금했었습니다. 신버전에서는 아프리카 분할 쟁탈전으로 인한 세계대전을 피하기 위해 이를 1886년 이후에 해금하도록 바꿨습니다. 이 선택지를 선택하면 예전 방식으로 변경합니다.;;;;;;;;;;;;;
pick_AI_personality_title;$COUNTRY$ $MONARCHTITLE$의 성정;;;;;;;;;;;;;
pick_AI_personality_desc;$COUNTRY$ $MONARCHTITLE$께서는 강한 개성을 가지셨습니다.;;;;;;;;;;;;;
take_eisenstadt_title;아이젠슈타트 영유권 재주장;;;;;;;;;;;;;
take_eisenstadt_desc;아이젠슈타트는 오스트리아의 적법한 일부이므로 다시 한번 되찾아와야 합니다.;;;;;;;;;;;;;
south_tirol_compromise_title;쥐트티롤 문제에 관한 회의 소집;;;;;;;;;;;;;
south_tirol_compromise_desc;쥐트티롤은 전통적으로 북부는 독일인, 남부는 이탈리아인이 다수를 차지하며, 양쪽 모두 적지 않은 이탈리아인과 독일인이 거주합니다. 이것이 인접한 독일계 국가와의 큰 문젯거리입니다. 따라서 $CAPITAL$에서도 이를 해결하고자 합니다. 쥐트티롤 문제의 해결책을 모색하는 회담에 인접국을 초청할 수 있습니다. 비록 회의가 좋은 결과만을 보장하지는 않겠지만, 쥐트티롤 문제를 평화적으로 해결할 가장 좋은 기회입니다.;;;;;;;;;;;;;
