Key;English;;;;;;;;;;;;;
EVTNAME31717;오스트리아 제국의 영토;;;;;;;;;;;;;
EVTDESC31717;대독일이 결성되면서 과거 오스트리아 제국에 속했던 땅들은 자치권을 얻었습니다. 그 과정의 일환으로 새롭게 결성된 독일 제국은 유럽의 힘의 균형과 우리를 위한 선의의 표시로 $COUNTRY$ 인민들이 영유권을 주장하는 땅을 우리에게 제공하기로 정했습니다.;;;;;;;;;;;;;
EVT31717OPTA;거부할 사람 있는가?;;;;;;;;;;;;;
EVTOPTA23200;탐험대를 꾸려야 한다.[SUB_A7]R(3만[SUB_A4] 를 지불하거나 부족할 경우 빌립니다)[SUB_A7]W;;;;;;;;;;;;;
EVTOPTA23201;다시 시도해야 한다.[SUB_A7]R(5만[SUB_A4] 를 지불하거나 부족할 경우 빌립니다)[SUB_A7]W;;;;;;;;;;;;;
EVTNAME98906;$FROMCOUNTRY$ 니제르회사 설립;;;;;;;;;;;;;
EVTDESC98906;$FROMCOUNTRY$ 관료들이 오늘 $CAPTAL$에 도착해 니제르 삼각주에서 영업할 새로운 상인회사의 설립을 발표했습니다. $FROMCOUNTRY$이(가) 남부 나이지리아에 대해 야망을 품고 있는 것 같습니다...;;;;;;;;;;;;;
EVT98906OPTA;그래봐야 우리에게 해를 끼칠 수는 없다, 그렇지?;;;;;;;;;;;;;
EVTNAME6016825;농노제 혁파;;;;;;;;;;;;;
EVTDESC6016825;국내에서 농노제를 폐지할 준비를 모두 마쳤습니다.;;;;;;;;;;;;;
EVTNAME6016824;$FROMCOUNTRY$ 종속국화;;;;;;;;;;;;;
EVTDESC6016824;최근 전쟁의 결과 $FROMCOUNTRY$이(가) 우리에게 종속국으로서 권력을 넘겼습니다. $CAPITAL$의 관료들은 $FROMCOUNTRY$ 사람들을 환영하기 위한 준비를 마무리하고 있습니다. 이 사건은 $COUNTRY$ 영유권 보유 지역을 제외한 $FROMCOUNTRY$ 권역 전체를 아우르는 괴뢰정부를 수립합니다. 현지 정부의 형태도 우리 정부와 일치하도록 바뀝니다.;;;;;;;;;;;;;
EVT6016824OPTA;$FROMCOUNTRY$을(를) 환영한다.;;;;;;;;;;;;;
EVTNAME6016822;주종관계 변화;;;;;;;;;;;;;
EVTDESC6016822;$FROMCOUNTRY$은(는) 휘하에 종속국을 거느리고 있습니다. $YEAR$년 $COUNTRY$ 정부와의 국가적 연합에 따라 $CAPITAL$ 관료들이 현재 우리의 종속국인 $FROMCOUNTRY$의 종속국의 통합을 준비하기 위해 발빠르게 움직이기 시작했습니다.;;;;;;;;;;;;;
EVT6016822OPTA;예상했다.;;;;;;;;;;;;;
EVTNAME6016823;$FROMCOUNTRY$의 새 종주국;;;;;;;;;;;;;
EVTDESC6016823;$FROMCOUNTRY$라는 대국의 옛 상전끼리 힘을 합치면서 새로운 종주국이 $FROMCOUNTRY$ 정부의 개조 준비에 착수했습니다.;;;;;;;;;;;;;
EVT6016823OPTA;선택지가 없다.;;;;;;;;;;;;;
EVTNAME971714;팔랑헤주의;;;;;;;;;;;;;
EVTDESC971714;수년간 에스파냐 사람들은 외국의 지배와 불공정한 조약에 의해 굴욕을 받아왔습니다. 이제 그런 것은 모두 끝입니다! $CAPITAL$의 새 정부는 필요한 모든 수단을 동원하여 에스파냐 국민들이 잃어버린 모든 것을 되찾겠다는 선동을 시작했습니다. 이러한 주장은 우리의 영유권에 힘을 실어주고 부당하게 빼앗긴 에스파냐 국민의 권리를 되찾기 위한 대대적인 선전을 동반하고 있습니다. 우리가 중점을 두어야 할 부분은...;;;;;;;;;;;;;
EVT971714OPTA;지브롤터, 우리의 권리.;;;;;;;;;;;;;
EVT971714OPTB;바스크, 카탈로니아, 지브롤터는 우리 에스파냐의 권리다.;;;;;;;;;;;;;
EVT971714OPTC;이베리아반도는 에스파냐의 것이다.;;;;;;;;;;;;;
EVT971714OPTD;이베리아인은 모두 에스파냐 국민이다.;;;;;;;;;;;;;
EVTNAME5000001;위대한 이상;;;;;;;;;;;;;
EVTDESC5000001;그리스 정부는 터키가 소유한 그리스의 영토를 되찾는 전략을 적극 시행하기로 결정했습니다. 우리는 이제 국제 무대에서 이러한 영유권에 대하여 진지한 목소리와 무게를 실어줄 정치적 영향력을 갖게 되었습니다. 다만 어떤 부분에 중점을 맞춰야 하는지가 여전히 의문입니다.;;;;;;;;;;;;;
EVT5000001OPTA;오직 트라키아에만 관심이 있다.;;;;;;;;;;;;;
EVT5000001OPTB;아나톨리아 연안 전체에 영유권을 주장하겠다.;;;;;;;;;;;;;
EVT5000001OPTC;모든 것을 가져야 한다.;;;;;;;;;;;;;
EVTNAME90911;$FROMCOUNTRY_ADJ$ 식민지;;;;;;;;;;;;;
EVTDESC90911;이 영토들은 이제 식민지의 지위를 가져야 합니다.;;;;;;;;;;;;;
EVTOPTA90911;모든 것을 원래대로 돌려놓아라.;;;;;;;;;;;;;
EVTNAME971713;은빛 흥분의 끝;;;;;;;;;;;;;
EVTDESC971713;시에라 알마그레라에서의 '은빛 흥분'이 끝나고, 10년도 채 지나지 않아 쿠에바스의 인구는 8000명에서 16000명으로 늘어났습니다. 1870년대에 많은 광산들이 물에 잠겼지만, 다른 철광맥의 발견으로 현재 마을 광장에 동상으로 서 있는 호세 마리아 무뇨스의 힘 덕분에 광산의 활동이 재개되었습니다. 시에라 알마그레라의 많은 광경들이 채굴활동을 여실히 보여주는데, 영국 레딩에서 만들어진 1873년산 증기기관이 맨 앞에 서있고, 그것과 함께 작동했던 드럼이 함께 있습니다. 그러나 $YEAR$에 들어서는 이러한 장비들은 대부분 폐기되었고, 더 이상 광맥이 발견되지 않아 이 지역에서의 채굴이 거의 중단되었습니다.;;;;;;;;;;;;;
EVT971713OPTA;정말 좋은 때 였는데.;;;;;;;;;;;;;
EVTNAME971712;은빛 흥분;;;;;;;;;;;;;
EVTDESC971712;쿠에바스 데 알만소라, 알메리아에서 북동쪽으로 70km 떨어진 시에라 알마그레라에서의 주요 도시이며, 약 12kms가량 해안과 접한 산맥이 있습니다. 광맥들은 선사시대부터 존재하였고, 몇몇 광맥에서는 은이 발견되어 현지인들이 '은빛 흥분'이라고 부른다는 것이 밝혀졌습니다.;;;;;;;;;;;;;
EVT971712OPTA;좀 아껴줘!;;;;;;;;;;;;;
EVTNAME1100057;멕시코의 배상금 지불 거부;;;;;;;;;;;;;
EVTDESC1100057;멕시코 정부는 프랑스 정부에 대해 배상금을 지불하는 것을 거부했습니다. $CAPITAL$에서의 정부 고위 인사들은 전쟁을 대비하고 있습니다. 이제 멕시코에 프랑스가 개입하는 것은 거의 불가피 합니다.;;;;;;;;;;;;;
