Key;English;;;;;;;;;;;;;
bayonet_charge;총검돌격;;;;;;;;;;;;;
bayonet_charge_desc;17세기 후반 개발된 총검은 19세기와 20세기를 거치며 보병의 주요전술로 자리잡았습니다. 19세기 초만 해도 군사학자들은 이미 대부분의 총검돌격이 근접전을 초래하지 않는다는 점에 주목하고 있었습니다. 대신에 한쪽은 실제 총검전이 일어나기 전에 보통 도망쳤습니다. 총검을 장착하는 행위는 주로 사기와 관련이 있었으며 아군과 적군에게 살상 용의가 있다는 분명한 신호를 주기 위해 행해졌습니다.;;;;;;;;;;;;;
portland_cement;포틀랜드 시멘트;;;;;;;;;;;;;
portland_cement_desc;현재 시중에서 파는 시멘트는 돌로 직접 만든 천연 시멘트와 흔히 포틀랜드 시멘트라고 불리는 인공 시멘트으로 나뉩니다. 전자의 제조는 단순히 시멘트 돌을 연소하고 분쇄하는 것으로 이루어집니다. 인공 시멘트는 규토와 알루미나와 이산화규소를 시멘트 돌과 거의 같은 비율로 혼합한 약 62%의 석회로 구성되며 산화마그네슘은 없습니다. 산화마그네슘이 없다는 점이 두 시멘트의 차이를 만드는 것 같습니다. 인공 시멘트는 빠르게 고정돼 비교적 짧은 시간에 최대 경도에 도달하는데, 천연 시멘트는 다소 느리게 굳어져 공기에 장시간 노출된 후에야 최대 경도에 도달합니다. 인공 시멘트는 시멘트 돌의 가용성에 좌우되지 않고 시멘트의 광범위한 제조가 가능하게 했습니다.;;;;;;;;;;;;;
canning_process;통조림 제조공정;;;;;;;;;;;;;
canning_process_desc;통조림 제조공정은 1809년 프랑스의 니콜라 아페르가 프랑스 정부의 육해군용 식량 보존법을 요구에 따라 장기간에 걸친 연구 끝에 발명했습니다. 아페르의 공정은 음식물을 병이나 항아리에 단단히 밀봉하여 일정한 온도로 가열하고 일정 기간 열을 유지함으로써 용기를 사용하기 전까지 밀봉 상태로 유지합니다. 1810년 영국의 피터 듀란은 병 대신 양철 깡통을 사용한 공정으로 특허권을 얻었고, 1820년까지 그는 영국 해군에 많은 양의 통조림 음식을 공급했습니다.;;;;;;;;;;;;;
industrial_sawmills;증기 동력 제재소;;;;;;;;;;;;;
industrial_sawmills_desc;산업혁명시대에 이르러 원형 톱날이 발명되고 증기 동력이 발달하면서 제재소에서 훨씬 더 많은 부분의 기계화가 가능해졌습니다. 제재소에서 나오는 폐기목재는 보일러를 연소하는 연료 역할을 합니다. 효율성은 높아지지만, 새로운 제재소의 자본 비용도 크게 증가했습니다.;;;;;;;;;;;;;
industrial_furniture_production;공업용 가구 생산;;;;;;;;;;;;;
industrial_furniture_production_desc;이전에 목수들과 소목장이들이 모든 종류의 나무 건축물 건설과 함께 나무 가구를 만들었던 곳에서, 여러 상황이 합쳐져 새로운 직업이 장식장 제작자가 탄생했습니다. 가구 제작업이 자체적인 사업으로 성장하면서 결국 제조양식, 특히 사용되는 연결부위의 종류와 다양한 목재의 두께에 있어서 상당한 수준의 표준화가 이루어졌습니다. 이는 또한 노동력의 분배를 증가시키는 결과, 즉 선반공, 조각가, 의자 제작가, 덮개를 씌우는 사람들 모두 가구를 만들고 조립하는 과정에서 각자의 역할을 수행하는 결과를 낳았습니다.다. 새로운 제조양식에서는 평탄하고 평평한 부품들이 함께 치장 처리되므로 기존의 틀 방식인 가로장 및 층계형 출입구를 장부 및 장붓구멍 연결 부위와 결합하여 홈에 판을 장착하는 방식과 대조적입니다. 일부 대형 상점은 가끔 고객의 요구에 따라 특별한 항목을 만드는 작업장을 보유하고 있지만, 대부분의 경우 가구제조회에게서 도매로 구매하는 것이 관행으로 자리잡았습니다.;;;;;;;;;;;;;
industrial_luxury_furniture_production;공업용 고급가구 생산;;;;;;;;;;;;;
industrial_luxury_furniture_production_desc;쪽매붙임은 고급가구를 위한 판자를 붙임으로써 파손되지 않은 표면에서 나무의 티끌과 색상을 장식으로 사용하는 중앙부 장식입니다. 고급 가구 기술자 또는 쪽매붙임 장인은 원하는 효과를 내기 위해 기본 목재에 직접 무늬를 그리거나 나무 위에 종이로 된 무늬를 붙였습니다. 그리고 나서 얇은 천을 조각칼로 잘라내거나, 나중에 톱으로 잘라내거나, 무늬를 모아 동물의 시체 위에 붙였습니다. 쪽매붙임 무늬는 점점 더 복잡해졌는데, 가끔 꽃무늬가 있긴 했으나 대다수는 기하학적이고 묘사적인 주제들을 포함했습니다. 쓰이는 재료의 범위 또한 더욱 다양해졌는데, 은, 청동, 황동과 같은 희귀한 금속이나 열대나무 뿐만 아니라 보석에 준하는 성질의 광범위한 다른 재료들도 포함했습니다.;;;;;;;;;;;;;
industrial_paper_production;펄프 및 종이 산업;;;;;;;;;;;;;
industrial_paper_production_desc;연속적 제지술 발명 이전에 종이는 펄프 슬러리 용기를 휘젓고 이것을 천 거푸집이라 불리는 직물 체에 붓거나 혹은 나무통에서 천 거푸집을 담아서 들어올림으로써 개별 천을 통해 만들어졌습니다. 천 거푸집의 구조에 남아 있는 동안 젖은 종이를 눌러 여분의 물을 제거했고 그런 다음 천을 들어 올려 공기 건조를 위해 밧줄이나 나무 막대에 매달았습니다. 최초의 지속적인 제지기 장망식 초지기는 모든 것을 변화시켰습니다. 이 기계는 특수하게 짜인 직물 그물망 컨베이어 벨트를 사용하는데, 여기서 섬유 슬러리를 배출해 이어지는 종이 망을 만들 수 있으며, 배수대라는 수평적인 배수 구역에 종이가 남습니다.;;;;;;;;;;;;;
commerce_raiders;증기호위함;;;;;;;;;;;;;
friedrich_engels_desc;젊은 시절 엥겔스는 아버지의 면화 공장 관리를 돕기 위해 맨체스터로 갔습니다. 엥겔스는 도시의 가난에 충격을 받아 장부를 작성하기 시작했고, 1844년 <잉글랜드 노동계급의 상황>을 집필했습니다. 여기서 엥겔스는 글을 쓰고 남은 평생 동안 국제노동기구를 조직하려고 노력해온 마르크스를 만났습니다. 엥겔스는 마르크스의 지적인 그늘에서 가려져 살았지만, 마르크스에게 자금을 대어 그의 집필 활동을 도왔습니다. 엥겔스가 없었다면 마르크스도 없었을 것이고 그 반대도 마찬가지일 것입니다.;;;;;;;;;;;;;
commerce_raiders_desc;이 1세대 증기선 군함은 '외륜식 군함'(호위함, 범선, 포함 등의 범주에 속함)입니다. 양쪽 또는 중앙에 장착된 외륜을 사용합니다. 기계와 외륜이 차지하는 공간 때문에, 전통대로 넓은 측면에 포를 배치할 수 없습니다. 따라서 외륜선들은 일반적으로 매우 무거운 포를 중심점과 내리막에만 조금 설치했습니다.;;;;;;;;;;;;;
james_mill;제임스 밀;;;;;;;;;;;;;
james_mill_desc;제임스 밀은 제러미 벤담의 공적의 그늘에 가려져 있지만, 그 역시 중요한 급진적 사상가로서 둘 모두 공리주의의 창시자라고 여겨집니다. 공리주의의 일반적인 적용에 관한 대부분은 밀의 저서 속에서 설명하고 있습니다. 그의 주요 저서에는 <경제학 요강>(1821년)이나 <인간 정신 현상의 분석>(1829년)등이 있습니다.;;;;;;;;;;;;;
post_napoleonic_army_doctrine;나폴레옹 전쟁 이후의 군사사상;;;;;;;;;;;;;
post_napoleonic_army_doctrine_desc;프랑스 혁명과 나폴레옹 전쟁을 통해 대변혁을 맞은 군사전략의 영향은 남북 전쟁과 제1차 세계대전의 초반까지 이어졌습니다. 싸구려 소형무기의 출현과 시민 징집병의 부상을 통해 군대는 빠르게 몸집을 불렸습니다. 이로 인해 병력을 역할에 따라 잘게 쪼개기 시작했으며, 이와 함께 사단 포병, 사거리와 화력이 뛰어난 경량식/이동식 포병 등이 출현했습니다. 창병 및 총병의 경직된 진형은 경보병에게 자리를 내줬습니다.;;;;;;;;;;;;;
neokantian_idealism;신칸트파의 관념론;;;;;;;;;;;;;
neokantian_idealism_desc;칸트파의 초월론적 관념론은 범주, 혹은 사람에 내재한 이상적 개념과 경험을 통해서만 세계를 인식할 수 있다는 것이었습니다. 이런 생각은 때때로 '약한 경험주의'라고 불렸습니다. 그러나 신칸트파 관념론자들은 칸트의 생각에서 크게 벗어나 칸트의 맥락에서 세계를 해석하지만 더 고전적인 관념론으로 회귀했습니다.;;;;;;;;;;;;;
