Key;English;;;;;;;;;;;;;
organize_central_asia_title;중앙아시아의 패권;;;;;;;;;;;;;
organize_central_asia_desc;대초원에 대한 지배권이 우리에게 있음은 이제 논쟁의 여지가 없습니다. 더 잘 써먹을 수 있도록 이 지역을 잘 편성해야 합니다.;;;;;;;;;;;;;
conquest_of_red_water_title;해안 정복;;;;;;;;;;;;;
conquest_of_red_water_desc;튀르크메니아 지역에 대한 통제권을 모두 손에 넣었습니다. 이제 카즈피해로 향하는 지역을 정복하면 카스피해를 향해 나아갈 수 있습니다.;;;;;;;;;;;;;
claim_artois_title;아르테시어 영유권 주장;;;;;;;;;;;;;
claim_artois_desc;아르테시어 백국은 전통적으로 저지대의 일부였습니다. 단지 합스부르크가가 통치하던 와중에 프랑스 왕이 강탈했을 뿐입니다. 이 땅을 우리의 영광스러운 영역으로 되돌리고, 그곳의 백성을 일하게 해 이익을 얻는 것이 우리의 의무입니다!;;;;;;;;;;;;;
rename_artois_NET_title;아르테시어 탈환!;;;;;;;;;;;;;
rename_artois_NET_desc;아르테시어가 마침내 $COUNTRY$의 품으로 돌아왔습니다! 이 지방은 우리나라의 정당한 일부였으니, 이러한 변화를 세계지도에 반영해야 합니다.;;;;;;;;;;;;;
rename_artois_FRA_title;아르투아 탈환!!;;;;;;;;;;;;;
rename_artois_FRA_desc;아르투아가이 마침내 $COUNTRY$의 품으로 돌아왔습니다! 이 지방은 우리나라의 정당한 일부였으니, 이러한 변화를 세계지도에 반영해야 합니다..;;;;;;;;;;;;;
build_neuschwanstein_title;노이슈반슈타인성;;;;;;;;;;;;;
build_neuschwanstein_desc;노이슈반슈타인성은 호엔슈반가우 마을의 거친 언덕 위에 있는 19세기 로마네스크 양식의 궁전입니다. 이 궁전은 '백조의 왕' 바이에른의 루트비히 2세가 은퇴 후 리하르트 바그너에 대한 경의로 지은 것입니다. 이 궁전은 철저히 그를 위한 피난처로 설계됐습니다.;;;;;;;;;;;;;
EVTNAME110082;$COUNTRY$의 차 밀수;;;;;;;;;;;;;
EVTDESC110082;인도에서 씨앗을 가져와 1882년에 $COUNTRY$에서 차를 재배하려던 시도가 실패한 후 러히전에서 태어난 무함마드 미르자(흔히 카시프 알 살타네로 알려짐)는 인도 차를 수입해 러히전에서 재배하기 시작했습니다. 테헤란의 첫 번째 시장이자 영국령 인도 대사였던 그는 영국의 차 생산 비법을 배울 수 없다는 것을 알고 있었습니다. 차가 인도에서의 최대 사업이었기 때문입니다. 그래서 그는 차를 생산하는 법을 배우기 위해 프랑스 노동자인 척하며 차 농장과 공장에서 일했습니다. 궁극적으로 그의 계획은 경작을 위해 이 차의 일부 표본을 $COUNTRY$로 가져가는 것이었습니다. 그는 자신의 외교적 면제권 덕에 은밀한 비밀 표본을 영국인들이 찾지 못하도록 하는데 성공했다. 카시프는 인도 북부에서 3000개의 묘목을 자국으로 가져와 카스피해 남쪽의 길란 지역에서 재배를 시작했습니다. 그곳의 기후는 차 재배에 매우 적합했으며, 차 산업은 길란과 마잔다란 지역에서 빠르게 확장됐습니다.;;;;;;;;;;;;;
EVT110082OPTA;훌륭한 발상이군!;;;;;;;;;;;;;
EVT110082OPTB;괜찮아.;;;;;;;;;;;;;
EVTNAME110083;유럽 여행;;;;;;;;;;;;;
EVTDESC110083;이른바 '비문명국'의 많은 영주들이 서구화 정책을 지원하기 위해 유럽을 여행하기로 결정했습니다. 이란의 나세르 알딘 샤 카자르에서 시암의 출라롱콘과 인도의 많은 왕자들에 이르기까지 전 세계의 통치자들을 성공적으로 이끌어냈습니다. 이것이 우리나라가 근대화에 도움이 될 수 있지만, 우리의 전통적인 엘리트층을 분노하게 만들기도 할 것입니다...;;;;;;;;;;;;;
EVT110083OPTA;우리는 많이 배울 수 있다.;;;;;;;;;;;;;
EVT110083OPTB;왕은 자기 나라에 있어야지.;;;;;;;;;;;;;
EVTNAME110084;에르주룸 조약($YEAR$);;;;;;;;;;;;;
EVTDESC110084;쿠르드족 지역의 질서가 회복되자 오스만 제국과 이란 간의 긴장이 다시 고조됐습니다. 국경 분쟁은 이제 흔한 사건으로 두 법원 모두 팽창주의적 정서를 고조하고 있습니다. 이 지역에서의 자국 이익을 보호하고자 영국과 러시아가 외교적 해결책을 찾아준다는 명목으로 개입했습니다. 이들이 제안한 조약에는 영토의 타협에서 방랑자의 지위에 이르기까지 다양한 문제를 다루는 9개의 조항이 포함돼 이 지역의 국가 및 국경에 관해 서구적 개념을 영원히 확립합니다.;;;;;;;;;;;;;
EVT110084OPTA;공정한 것 같군.;;;;;;;;;;;;;
