Key;English;;;;;;;;;;;;;
rhodesia_renaming_act_title;로지디아 재명명;;;;;;;;;;;;;
rhodesia_renaming_act_desc;마쇼날란드에 대한 통치력은 굳건합니다. 이 지역을 더 문명적인 이름으로 개명하는 것이 적합합니다.;;;;;;;;;;;;;
support_january_uprising_title;1월 봉기 지지;;;;;;;;;;;;;
support_january_uprising_desc;군법이 선포된 후, 징집 대상자들은 바르샤바(1863년 1월 14-5일)에서 은밀히 도주하여 인근 삼림지에서 피난처를 찾았으며 1월 22일에 전국 궐기를 요구하는 선언문이 발표되었습니다. 수적으로 많이 부족하고 설비가 부족함에도 반군은 장인들, 노동자들, 신사들 그리고 도시의 공식 강습생들 사이에서 지지를 얻었고 시골 지역의 대지주에 대한 농민 봉기를 자극했습니다. 우리는 러시아에 대한 이 궐기를 지지할 수 있습니다.;;;;;;;;;;;;;
treaty_of_tartu_EST_title;타르투 평화조약;;;;;;;;;;;;;
treaty_of_tartu_EST_desc;타르투 평화조약은 1920년 2월 2일 에스토니아 독립전쟁을 종결하기 위해 에스토니아와 러시아 소비에트 연방 사회주의 공화국이 맺은 평화 조약입니다. 조약의 조건은 "러시아는 에스토니아 공화국의 독립을 절대적으로 인정하며 에스토니아 영토에 대한 모든 권리를 영구히 포기한다."였습니다. 이 조약의 비준은 1920년 3월 30일 모스크바에서 이뤄졌으며 1922년 7월 12일 국제 연맹 조약 목록에 등록되었습니다.;;;;;;;;;;;;;
establish_the_sovnarkomSOV_title;소비에트 인민위원회 설립;;;;;;;;;;;;;
establish_the_sovnarkomSOV_desc;러시아어로 '인민위원회 협의회'를 뜻하는 '소비에트 인민위원회'는 1918년 러시아 소비에트 사회주의 공화국 연방 헌법에서 규정한 최고위 정부기관이었습니다. 이 기관은 (공식적으로) 소련 의회에 책임이 있었고, 의회가 회의에서 파면되었을 때 법적으로 완전한 힘을 지닌 법령을 발효시킬 권한을 가졌습니다.;;;;;;;;;;;;;
russian_vladivostokSOV_title;동방의 지배자;;;;;;;;;;;;;
russian_vladivostokSOV_desc;1860년 7월, 동방의 지배자라는 이름의 블라디보스토크가 조선 국경 근처에 세워졌습니다. 이 항구는 러시아의 주요 무역항과 조선소 역할을 해낼 것이며, 대륙횡단철도의 중심지가 될 것이고, 주요 과학, 문화, 산업 중심지가 될 것입니다. 황제는 도시가 서쪽과 동쪽을 연결하는 통로가 될 것이라고 꿈꿨습니다. 아마도 블라디보스토크행 철도가 결국 수에즈 운하를 대체하지 않을까요?;;;;;;;;;;;;;
treaty_of_tartuSOV_title;타르투 조약;;;;;;;;;;;;;
treaty_of_tartuSOV_desc;러시아의 통치에서 벗어나는데 성공했습니다. 승산없는 이 전쟁이 패전으로 끝나기 전에 러시아 정부에 접근해 페차모와 남부 카렐리야에 대한 영유권을 논의해야 합니다.;;;;;;;;;;;;;
finnish_diet;핀란드 국회;;;;;;;;;;;;;
finnish_diet_title;핀란드 국회;;;;;;;;;;;;;
finnish_diet_short;핀란드 국회;;;;;;;;;;;;;
finnish_diet_setup;핀란드 국회;;;;;;;;;;;;;
finnish_diet_desc;1863년 6월, 크림 전쟁이 있은 후 알렉산드로 2세는 핀란드 국회를 다시 소집했습니다. 9월 18일 개막식이 열렸고 황제는 헌법 개정안 발표 선언을 했습니다. 이 변화는 1867년 1월에 황제가 약속했던 국회 정기소집을 포함했습니다. 그 결과 러시아 제국 내에서의 핀란드의 자치권이 커졌고 핀란드 의회와 황제의 관계가 개선되었습니다.;;;;;;;;;;;;;
switch_to_early_russian_tech;정교회, 전제 정치, 국민!;;;;;;;;;;;;;
switch_to_early_russian_tech_title;정교회, 전제정치, 민족!;;;;;;;;;;;;;
switch_to_early_russian_tech_short;정교회, 전제정치, 민족!;;;;;;;;;;;;;
switch_to_early_russian_tech_setup;정교회, 전제정치, 민족!;;;;;;;;;;;;;
switch_to_early_russian_tech_desc;'정교회, 전제정치, 민족'은 러시아 황제 니콜라이 1세의 이념적 교리였습니다. 이 교리의 '세 묶음'은 세르게이 우바로프 교육부 장관이 1833년 4월 2일자로 부하들에게 보낸 서한에서 제안한 바 있습니다. 이는 곧 황제의 눈에 들었고 여러 지식인들의 지지를 받아 광범위한 대중의 인정을 받았습니다. 비평가들은 이 정책의 원칙이 러시아화의 요구라고 말합니다. 16세기 이래로 이어져온 러시아 전체정치의 존재는 역설적으로 근대로의 전환점을 보여주었습니다.;;;;;;;;;;;;;
switch_to_russian_intelligentsia;러시아 지식인;;;;;;;;;;;;;
switch_to_russian_intelligentsia_title;러시아 지식인;;;;;;;;;;;;;
switch_to_russian_intelligentsia_short;러시아 지식인;;;;;;;;;;;;;
switch_to_russian_intelligentsia_setup;러시아 지식인;;;;;;;;;;;;;
switch_to_russian_intelligentsia_desc;크림 전쟁은 러시아의 황제 알렉산드로 2세(1855년 3월에 니콜라이 1세를 이음)에게 러시아의 후진성을 극복할 필요성을 일깨웠습니다. 동시에 러시아의 교양인 엘리트들은 문화적, 정치적, 기술적 번성을 누리고 있었습니다. 이들은 후에 범슬라브파와 서구파로 나뉘었습니다.;;;;;;;;;;;;;
