Key;English;;;;;;;;;;;;;
EVTDESC90005;그저 영향권 편입을 통해 $CB_TARGET_NAME$을 돕고 싶었을 뿐이지만, 그들은 그 사태에 대해 매우 흥분해 있습니다. 모든 관련자들에게는 불미스러운 일이지만, 그들의 반응은 오히려 국제 여론이 $CB_TARGET_NAME$이 $COUNTRY$의 번영에 동참하도록 강요하는 상황에 반대하도록 만들었습니다.;;;;;;;;;;;;;
EVTNAME4661019;현상유지;;;;;;;;;;;;;
EVTDESC4661019;지난 전쟁이 현상유지로 끝나면서 엔트레리오스는 자유를 맞았습니다. 부에노스아이레스의 아르헨티나 연방 지배를 가로막는 장애물은 전혀 없습니다.;;;;;;;;;;;;;
EVTOPT4661019A;포르테뇨 패권의 시작이다.;;;;;;;;;;;;;
EVTNAME600074;우루과이 패배;;;;;;;;;;;;;
EVTDESC600074;리베라 대통령은 자신이 일으킨 전쟁에서 패배했으며 이제 우루과이 정부에 진정한 대통령인 오리베를 추대할 수 있습니다.;;;;;;;;;;;;;
EVTOPT600074A;오리베를 대통령으로 추대한다. 대신 추가적으로 간섭하지 않는다.;;;;;;;;;;;;;
EVTOPT600074B;오리베를 대통령으로 추대한다. 그리고 그가 거기에 머물도록 한다.;;;;;;;;;;;;;
EVTOPT600074C;오리베를 대통령으로 추대한다. 그리고 우루과이를 지배할 준비를 한다.;;;;;;;;;;;;;
EVTOPT600074D;우루과이의 일이다. 간섭하지 않는다.;;;;;;;;;;;;;
EVTNAME600075;로사스 패배;;;;;;;;;;;;;
EVTDESC600075;로사스는 전쟁에서 패하자 아르헨티나를 떠나 영국으로 달아났습니다. 오리베도 대통령직에 대한 모든 권리를 잃은 채 해외로 도망갔지만, 그렇다고 해서 국민당과의 분쟁을 막을 수는 없습니다.;;;;;;;;;;;;;
EVTOPT600075A;단일국가론자들의 아르헨티나 편성을 돕는다.;;;;;;;;;;;;;
EVTOPT600075B;더는 간섭하지 않는다.;;;;;;;;;;;;;
EVTNAME600076;$YEAR$년 휴전;;;;;;;;;;;;;
EVTDESC600076;우루과이와 아르헨티나가 휴전에 합의했고 평화 협상은 현상유지로 결론났습니다. 로사스를 축출하려던 전쟁은 성공하지 못했습니다.;;;;;;;;;;;;;
EVTOPT600076A;빌어먹을.;;;;;;;;;;;;;
EVTNAME45103;도미니카 독립;;;;;;;;;;;;;
EVTDESC45103;3인회가 승리하면서 독립을 드디어 완수했습니다. $COUNTRY$은 세계가 주권국가로 인정할 만큼 충분히 오랫동안 독립해있었습니다!;;;;;;;;;;;;;
EVT45103OPTA;도미니카 공화국 만세!;;;;;;;;;;;;;
EVTNAME203770;노예 인구 증가;;;;;;;;;;;;;
EVTDESC203770;영국이 압박한 직접적인 결과로 인해 노예무역을 한동안 금지했으나, 노예무역이 아닌 인구 증가로 인해 노예 인구가 늘었습니다.;;;;;;;;;;;;;
EVTOPTA203770;좋다, 좋아.;;;;;;;;;;;;;
EVTNAME600050;폴란드인 반란;;;;;;;;;;;;;
EVTDESC600050;1846년 초에 갈리치아(오스트리아 폴란드)와 크라쿠프에서 폴란드인 반란이 일어났을 때, 많은 오스트리아인은 크라쿠프의 독립적 지위가 폴란드인의 반란 계획을 자극하는 동시에 그 반란을 꾸밀 장소를 마련한다고 주장했습니다. 하지만 빈 조약과 프로이센, 러시아와 공동으로 이뤄지는 크라쿠프의 관리에 따라 당장은 어떤 조치도 취할 수 없습니다.;;;;;;;;;;;;;
EVT600050OPTA;회담을 위해 외교단을 파견한다.;;;;;;;;;;;;;
EVT600050OPTB;프로이센과 러시아의 동의에 신경 쓸 필요 없다. 지금 당장 행동해야 한다.;;;;;;;;;;;;;
EVT600050OPTC;반란을 무시한다. 전혀 위험하지 않다.;;;;;;;;;;;;;
EVTNAME600051;크라쿠프 봉기;;;;;;;;;;;;;
EVTDESC600051;자유시의 폴란드인 귀족들과 학자들이 폴란드를 회복하고 농노제를 종식하려는 대혁명을 시작하고 있습니다. 이 운동은 빠르게 탄력을 받고 있으며, 폴란드 점령지를 통해 언제든지 폭발할 수 있습니다. $COUNTRY$ 정부는 인접국들의 분노와 침략을 초래하면서 이 운동을 지지하거나, 반대로 탄압할 수 있습니다.;;;;;;;;;;;;;
EVT600051OPTA;혁명가들이 도시를 차지하게 한다. 폴란드여 하나돼라!;;;;;;;;;;;;;
EVT600051OPTB;혁명가들을 탄압한다. 그렇지 않으면 오스트리아가 보복할 것이다.;;;;;;;;;;;;;
EVTNAME600052;폴란드 문제;;;;;;;;;;;;;
EVTDESC600052;크라쿠프에서 혁명이 일어나면서 위대한 $COUNTRY$에도 산불처럼 번질 기미가 보입니다. 오스트리아는 크라쿠프를 탄압에 대한 동의를 구하면서, 자유시가 폴란드인 반란의 중심이므로 도시를 탄압하는 것만이 미래에 있을 폴란드인들의 반란을 종식할 수 있다고 주장합니다. 우리 외교단은 오스트리아를 지원하지 않으면 이 반란이 커질 수 있다며 우려합니다. 오스트리아 사절에게 뭐라고 전하는 것이 좋겠습니까?;;;;;;;;;;;;;
EVT600052OPTA;이 문제에 대해 지지하겠다고 전해라.;;;;;;;;;;;;;
EVT600052OPTB;빈 조약을 지켜야 한다. 오스트리아를 지원하지 않겠다.;;;;;;;;;;;;;
EVTNAME600054;크라쿠프의 운명;;;;;;;;;;;;;
