Key;English;;;;;;;;;;;;;
EVTNAME10222;프랑스 혁명($YEAR$);;;;;;;;;;;;;
EVTDESC10222;'개혁 만세!'와 '국왕 타도!'를 외치는 성난 군중이 파리를 휩쓸었습니다. 군중은 바리케이드를 세우고 프랑스 경비대와 교전을 벌였습니다. 이윽고 국왕은 퇴위 후 국외로 도망쳤습니다.;;;;;;;;;;;;;
EVTNAME10223;루이나폴레옹의 정변;;;;;;;;;;;;;
EVTDESC10223;상원에게 대통령 재선 금지를 철회하라고 강요할 수 없어 위기에 직면했던 루이나폴레옹이 정변을 일으켜 프랑스 정부를 전복했습니다. 군대 내 충성파는 파리의 전략지점을 봉쇄했고, 국회를 해산해 루이나폴레옹을 모두가 인정하는 황제로 추대했습니다. 그는 나폴레옹 3세로 즉위해 프랑스의 황제로서 삼촌의 왕위를 되찾았습니다. 유럽 전역의 각국은 옛 나폴레옹의 부활을 우려하며 이 소식에 부정적인 반응을 보였습니다. 심지어 러시아 황제마저 '황제는 국민투표로 선출하는 것이 아닌 신께서 점지하는 것'이라며 루이나폴레옹을 황제로 인정하기를 거부했습니다.;;;;;;;;;;;;;
EVTNAME10224;나폴레옹 황제의 퇴위;;;;;;;;;;;;;
EVTDESC10224;루이나폴레옹의 인기는 추락했습니다. 한때 국민은 루이나폴레옹의 즉위가 프랑스를 삼촌 나폴레옹 1세 치세만큼 위대하게 되돌릴 것이라 여겼으나, 프랑스는 이웃 국가들에게 철저히 가려졌습니다. 황제는 파리의 자유주의자 사이에서 많은 적을 키워왔고, 이제 그들은 황제를 공격하기로 선택했습니다. 나폴레옹은 물러났고, 이제 프랑스가 어떤 형태를 취할 것인가에 대한 의문점만이 남았습니다.;;;;;;;;;;;;;
EVTNAME11108;슬라브 통합;;;;;;;;;;;;;
EVTDESC11108;발칸반도의 슬라브족이 다른 오스트리아와 터키의 침탈에게서 스스로를 보호한다는 공동의 기치 아래 슬라브족 국가들의 연합체인 유고슬라비아로 단결했습니다. 이전에 전쟁까지 할 정도로 서로에 대해 적대감을 지진 문화끼리의 조합은 과연 어떨까요?;;;;;;;;;;;;;
EVTOPTA13000;문제만 일으키지 않는다면 서양인의 입국을 허용하겠다.;;;;;;;;;;;;;
EVTOPTB13000;그들은 위험한 사상을 갖고 있다. 문호를 더 굳건히 잠근다.;;;;;;;;;;;;;
EVTNAME13010;난파선원;;;;;;;;;;;;;
EVTDESC13010;"오래된 연못, \n개구리 뛰어드는 \n젖은 물소리 " \n\n - 마쓰오 바쇼 \n\n$PROVINCENAME$ 지역은 오늘 이른 아침 해안에서 발견된 이상한 사람들에 대한 소문으로 시끄럽습니다. 아직은 난파당한 선원들의 출신지에 대한 확실한 정보를 얻지 못했습니다. 지금 확실한 것은 선원들이 $COUNTRY$ 사람이 아니라는 것 뿐입니다.;;;;;;;;;;;;;
EVTOPTA13010;귀국하도록 놔둬라.;;;;;;;;;;;;;
EVTOPTB13010;그들을 억류하라.;;;;;;;;;;;;;
EVTNAME13015;외국인 밀수업자;;;;;;;;;;;;;
EVTDESC13015;한 신민이 외국 복식을 입은 사실을 발견했습니다. 당국의 조사 결과 외국 밀수조직을 적발했습니다. 이 외국인들은 체포당하면 사형당할 것을 알면서도 $COUNTRY$에 밀입국합니다. 하지만 일부 고문은 그들이 우리는 하지 못하는 욕구충족이 기능하므로 그들의 존재도 가치가 있다고 말합니다.;;;;;;;;;;;;;
EVTNAME13020;외국인 선교사;;;;;;;;;;;;;
EVTDESC13020;외국인의 $COUNTRY$ 입국을 불허하는 방침에도 한 무리의 외국인 선교사들이 몰래 국내를 왕래하며 그들의 종교를 전파하고 있다는 사실이 밝혀졌습니다. 그들을 직접 처형할 수도 있으나, 이러한 행동은 그들의 모국과 대치할 가능성을 제공합니다. 수명의 성직자 때문에 그런 전쟁을 감수해야 할까요?;;;;;;;;;;;;;
EVTNAME13030;서양의 접근;;;;;;;;;;;;;
EVTDESC13030;유럽 강대국 출신 외국인 해외거주공동체가 우리 도시에 생겼다는 소식이 전해졌습니다. 분명 개항과 국경개방의 직접적인 영향입니다. 정부가 믿는 것처럼 이러한 유입이 긍정적일 수도 있지만, 일부에서는 외국인에 불친절한 반응을 보입니다.;;;;;;;;;;;;;
EVTDESC13040;쇄국정책이 적절함은 분명하나, 좋은 외제 물건도 존재합니다. 그렇기에 대외무역을 통솔하는 외국인 상업지구를 설치하는 방안을 검토하기로 했습니다. 이 방안이 통과된다면 모든 외국인 상인은 우리나라 통제를 받으며 외국인 상업지구를 통해서만 무역을 해야 합니다. 이것이 성공한다면 쇄국정책을 위태롭게 하지 않으면서도 외국과 무역을 실시할 수 있으며 지역에 따라 경제적 이익을 기대할 수 있습니다. 그러나 보수파는 외국의 파괴적인 영향을 우려하여 반대했습니다;;;;;;;;;;;;;
EVTDESC13050;도시의 뒷골목과 어두운 거리에 감미롭고 자극적인 냄새가 감돕니다. 분명히 이 냄새는 상업지구 근처를 중심으로 사방팔방으로 퍼집니다. 유럽인 무역상이 국내에 아편 중독을 가져왔습니다. 그리고 이 중독은 무서운 기세로 국민들에게 퍼졌습니다. 이양선이 입항할 때마다 아편이라는 이름의 달콤한 유혹에 빠져 중독된 국민이 날이 갈수록 증가합니다. 어떻게 대처해야 할까요?;;;;;;;;;;;;;
EVTDESC13056;대단한 범선이 동서남북으로 우리 해안을 넘나듭니다. 마치 늑대들이 독을 사용해 약하고 부패한 사람들을 도려내는 것처럼 말입니다. 개항하지 않은 항구가 있다면 어디든 곧 이양선이 정박해 우리 국민에게 접근합니다. 아편이 $STATENAME$에도 퍼졌습니다.;;;;;;;;;;;;;
EVTDESC13070;'난학'은 '네덜란드의 문물'에 관한 학문입니다. 에도시대 일본은 유럽의 학문, 기술, 문화 등을 나가사키 데지마의 네덜란드 상관을 통해 수입해왔으므로 '네덜란드의 문물'은 "유럽의 문물"에 관한 학문 총칭이기도 합니다. $PROVINCENAME$의 상관은 나가사키 데지마의 상관와 비슷한 규모입니다. 현재 이곳에서는 국내 과학기술을 발전시키고 세계를 더 깊게 이해하기 위해, 서양서적 번역 담당 공무원들이 열심히 일합니다.;;;;;;;;;;;;;
EVTDESC13080;그는 얼굴을 가리고, 분노를 참아가며 이야기했습니다. $PROVINCENAME$ 현지 귀족들이 한 외국인 거류민에게 모욕당했다고 합니다. 아무래도 문제의 외국인이 지역 귀족과 길거리에서 만났을 때, 우리나라의 예법에 부합하는 적절한 예를 차리지 않은 모양입니다. 외국인이라고는 하지만, 남의 나라 풍습을 노골적으로 무시한 이번 문제를 참아야 할까요?;;;;;;;;;;;;;
EVTDESC13090;통을 들여다본 그는 마치 어린아이처럼 흥분했습니다. "굉장해, 새로운 세계를 보는 것 같아!" 그는 흥분의 함성을 지르며 딱정벌레를 넣은 병을 가리켰습니다. 흥분이 진정된 후 그는 나에게 그 통을 들여다보라고 말했습니다. 서늘하고 차가운 유리와 강철으로 만들어진 통을 들여다보았습니다. 그 통에 부착된 광학 렌즈의 반대편에는 모든 것들이 10배로 확대된 세계가 펼쳐져있었습니다. "이게 바로 '현미경'이라는 이름을 가진 물건이라더군!" 그는 웃으면서 통의 정체에 대해 가르쳐주었습니다. "내가 $PROVINCENAME$에 사는 외국인에게 이걸 샀다는 거 아냐!";;;;;;;;;;;;;
EVTDESC13140;$PROVINCENAME$에 파견된 군사고문단을 통해 아군의 군사기밀이 일부 유출당했습니다. 이 영향으로 우리나라의 전쟁준비에 큰 악영향이 생겼습니다. 우리나라는 곧바로 군사고문단들을 내쫓았습니다. 그러나 이미 정보가 유출된 이상, 이로 인한 피해는 되돌릴 수 없습니다.;;;;;;;;;;;;;
EVTDESC13160;국내 감옥에서는 수병을 가둬도 일반적으로 큰 문제로 번지지는 않습니다. 하지만 이번 사례는 예외입니다. $FROMCOUNTRY$ 소속 수병이 $PROVINCENAME$의 술집에서 우리 국민과 싸워 한 사람을 살해하고 말았습니다. 현재 그 수병은 현지 경찰이 체포한 상태입니다. $FROMCOUNTRY$ 외교관은 수병을 자국의 법에 따라 재판하겠다고 주장하면서 신병 인도를 요구했습니다. 이번 사건의 대응은 매우 어려운 문제입니다. 그들의 요구에 굴복해 신병을 인도할 경우에는 앞으로도 모든 외국인 거주지역에 대해 치외법권을 인정할 수 밖에 없습니다. 그러나 수병의 신병을 인도하지 않는다면 국제적인 문제로 발전할 것 같습니다. ;;;;;;;;;;;;;
EVTDESC13230;외국인 대사가 $PROVINCENAME$ 거리를 혼자 배회하는 행위가 얼마나 위험한 행동인지는 공사관 거주지에 주재하는 각국 대사들이야말로 공감하는 사실입니다. 공사관 거주지의 경비대가 새벽 오전 4시 외국 대사의 시신을 발견했다고 보고해왔습니다. 현장의 모습을 보아 아무래도 강도에게 습격당한 것 같았습니다. 이에 대해 각국 외교관들은 우리나라가 보호의무를 충분히 수행하지 않았다고 항의했습니다. 지도부는 공식 사과를 하더라도 이 문제를 가라앉히지 못하지는 않을까 두려워했습니다. 무엇보다 사과 이상의 무언가를 보여줘야 할 경우나, 혹은 더 확실한 무언가를 해야 할 경우에는...;;;;;;;;;;;;;
EVTDESC13280;연이어 개혁을 진행하자 $PROVINCENAME$의 토착 인사들이 반발했습니다.;;;;;;;;;;;;;
EVTNAME13365;의화단의 외세 점령지 탈환;;;;;;;;;;;;;
EVTDESC13365;의화단은 식민제국이 강점한 중국의 정당한 영토를 침공했습니다. 그들은 성공적으로 영토를 점령했고, 서구의 탈환 시도를 저지했습니다. 의화단은 "이제 다시 한번 그 땅에 영유권을 주장할 수 있다"라고 말했습니다. 만약 그렇게 한다면, 그것은 선전포고나 다름없는 행위입니다. 그리고 청 제국의 상태를 고려하면, 전쟁은 얻은 것보다도 많은 것을 잃을 전쟁일 수도 있습니다.;;;;;;;;;;;;;
EVTNAME13370;의화단의 승리!;;;;;;;;;;;;;
EVTDESC13370;의화단이 $CAPITAL$ 점령에 성공했습니다. 그들은 외국의 영향력을 몰아내고 기존의 고립주의 정책으로 회귀했습니다. 이것이 서구 강대국들에게 어떤 영향을 미칠지는 두고 봐야겠지만, 청나라는 현재로서는 의기양양하게 서 있습니다.;;;;;;;;;;;;;
EVTNAME18501;$COUNTRY$의 길;;;;;;;;;;;;;
EVTDESC18501;우리 $COUNTRY$은 평등한 나라이며, 그 누구도 다른 사람보다 중요하지는 않습니다. 모든 사람들은 모든 것을 개선하기 위해 노력합니다. $CAPITAL$신문에 실린 부유하지만 범죄를 저지르던 산업가를 체포했다는 소식을 접한 $COUNTRY$ 사람들은 격분하기보다는 자신들의 이상을 강화했습니다. 오늘, 우리 국민은 이전보다 조금 더 당당하게 걸어갑니다.;;;;;;;;;;;;;
EVTNAME18505;$COUNTRY$의 재주;;;;;;;;;;;;;
EVTDESC18506;우리 $COUNTRY$은 자유로운 나라이며, 모든 사람은 자신의 운명을 추구할 권리를 타고납니다. 번영의 가능성은 모든 사람의 손이 닿는 곳에 있습니다. 최근 $CAPITAL$신문에 실린 무죄로 여겨지던 한 남자의 무죄 판결 소식을 접한 시민들은 자신들의 이상을 강화했습니다. 오늘, 우리 국민은 이전보다 조금 더 당당하게 걸어갑니다.;;;;;;;;;;;;;
EVTNAME18510;군사행진;;;;;;;;;;;;;
EVTDESC18510;거리를 행진하는 우리 군인의 눈에는 $COUNTRYNAME$과 그 이상에 대한 최고의 헌신만 보입니다. 이들은 어린 시절부터 우리 민족에 대한 굳건하고 확고한 신념을 조성해왔습니다. 그러므로 그것들을 지키기 위해서는 목숨조차도 내놓을 것입니다. $COUNTRY$이여, 영원하라!;;;;;;;;;;;;;
