Key;English;;;;;;;;;;;;;
EVTNAME96000;전쟁 임박;;;;;;;;;;;;;
EVTDESC96000;$COUNTRY$은(는) 강대국과 전면전을 벌이고 있습니다. 전쟁으로 수백만명을 살상할 수 있는 현대시대에, 우리나라의 미래가 위태로울 수 있습니다. $COUNTRY$ 국민에게 외침이 전달됐습니다. "사소한 차이는 제쳐두고, '일상생활과 개인적 야망은 제쳐둬야 한다. $COUNTRY$은(는) 우리가 필요로 하는 이 시간에 단결해야 한다.'";;;;;;;;;;;;;
EVTOPTA96000;반드시 승리하리라!;;;;;;;;;;;;;
EVTNAME96010;$CAPITAL$ 조약;;;;;;;;;;;;;
EVTDESC96010;우리나라는 전쟁에서 졌고, 승전국들은 굶주린 독수리마냥 패전국 앞에 섰습니다. 우리는 협상장에 앉아 식민제국의 붕괴와 관련된 굴욕적인 조건을 강요당했습니다. 조건에 따르면 패전국은 해외 식민지를 절대 보유할 수 없습니다. 오랫동안 기억해야 할 치욕의 순간입니다.;;;;;;;;;;;;;
EVTNAME96004;전쟁 요구;;;;;;;;;;;;;
EVTDESC96004;전쟁을 지속하는 현재 상황이 국민에게 피해를 입히고 있습니다. 생필품의 부족과 지지부진한 전황이 국민들의 전쟁 열의를 약화시키고 있습니다. 사태를 곧 호전하지 않는다면 국경 안에서 지쳐가는 피로와 불안감에 직면할 수 있습니다.;;;;;;;;;;;;;
EVTOPTA96004;이 전쟁에서 승리하리라!;;;;;;;;;;;;;
EVTNAME96005;모두를 위한 것?;;;;;;;;;;;;;
EVTDESC96005;$CAPITAL$에서 증가하는 시위는 $COUNTRY$ 사람들의 지배적인 감정을 보여줍니다. 당장 전쟁을 끝내라는 것입니다. 대체 무엇을 위해 많은 것이 목숨을 바치고 희생했을까요? 사람들은 끊임없는 전쟁의 망령이 자신의 머리 위에 맴도는 것보다는 일상생활로 돌아가고 싶어합니다.;;;;;;;;;;;;;
EVTOPTA96005;희망을 잃지 마라!;;;;;;;;;;;;;
EVTNAME96006;총체적 붕괴;;;;;;;;;;;;;
EVTDESC96006;가볍게 말하자면 전쟁이 잘 풀리지가 않습니다. 고문들은 더 끔찍한 일이 일어나기 전에 전국이 총력을 다해야 한다고 조언하고 있습니다. 국민들이 반란을 일으키기 직전입니다. 이제 행동해야 합니다!;;;;;;;;;;;;;
EVTOPTA96006;재앙이로다!;;;;;;;;;;;;;
EVTOPTA96010;평화를 환영한다.;;;;;;;;;;;;;
EVTNAME96013;$FROMCOUNTRY$ 해체;;;;;;;;;;;;;
EVTDESC96013;$FROMCOUNTRY$은(는) 패전을 인정해야 했고, 승전국들은 $FROMCOUNTRY$ 식민제국의 해체를 논의하는 협상에 우리를 초대했습니다. 이는 잠재적으로 $FROMCOUNTRY_ADJ$에 속했던 $COUNTRY_ADJ$의 반환을 의미합니다. 다만 이 영토를 포기한다면 $FROMCOUNTRY$과(와)의 관계를 복구할 수도 있습니다.;;;;;;;;;;;;;
EVTOPTA96013;회담에 참석하겠다.;;;;;;;;;;;;;
EVTOPTB96013;회담에 참석하지 않겠다.;;;;;;;;;;;;;
EVTNAME96014;$FROMCOUNTRY$ 해체;;;;;;;;;;;;;
EVTDESC96014;$FROMCOUNTRY$은(는) 패전을 인정해야 했고, 승전국들은 $FROMCOUNTRY$ 식민제국의 해체를 논의하는 협상에 우리를 초대했습니다. 이는 잠재적으로 $FROMCOUNTRY_ADJ$에 속했던 $COUNTRY_ADJ$의 반환을 의미합니다. 다만 이 영토를 포기한다면 $FROMCOUNTRY$과(와)의 관계를 복구할 수도 있습니다.;;;;;;;;;;;;;
EVTOPTA96014;우리 땅의 반환을 원할 뿐이다.;;;;;;;;;;;;;
EVTNAME96015;$COUNTRY$ 해방;;;;;;;;;;;;;
EVTDESC96015;FROMCOUNTRY$은(는) 전쟁에서 패배해 협상을 해야 했습니다. 그들 식민제국을 해체하는 조건 중 하나는 식민지들을 해방하는 것입니다. 이는 $FROMCOUNTRY$ 관리들을 식민지에서 추방하고 잠재적으로 독립국으로 만드는 것을 의미합니다. 다른 선택지로는 이를 포기하고 $FROMCOUNTRY$과(와) 긴밀한 관계를 유지할 수도 있습니다.;;;;;;;;;;;;;
EVTOPTA96015;$COUNTRY$은(는) 해방을 맞으리라.;;;;;;;;;;;;;
EVTOPTB96015;$FROMCOUNTRY$은(는) 우리 동맹이다.;;;;;;;;;;;;;
EVTNAME96016;$FROMCOUNTRY_ADJ$ 식민지;;;;;;;;;;;;;
EVTDESC96016;전후처리에 관한 회담에서 $FROMCOUNTRY_ADJ$ 식민지의 처우가 안건에 올랐습니다. $FROMCOUNTRY$이(가) 식민지를 모두 몰수해야 한다는데는 모두 동의하지만, 그 처분에 대해서는 의견이 분분합니다. 현재 일부 지역을 결정하는 합의가 이루어졌고, 나머지에 대해서는 내년에나 합의를 이룰 것 같습니다.;;;;;;;;;;;;;
EVTOPTA96016;다다익선!;;;;;;;;;;;;;
EVTOPTB96016;오직 $FROMCOUNTRY$의 국력을 제한하는데만 관심을 가질 뿐이다.;;;;;;;;;;;;;
EVTOPTC96016;그들의 식민지에는 관심이 없다.;;;;;;;;;;;;;
EVTDESC96017;전후처리에 관한 회담에서 $FROMCOUNTRY_ADJ$ 식민지의 처우가 안건에 올랐습니다. 우리는 강대국이 아니므로 식민지를 추구해도 소득이 없을 수 있지만, 이는 시도하지 않아도 마찬가지입니다. 다만 그 시도가 공격적으로 보일 수도 있습니다.;;;;;;;;;;;;;
EVTNAME96020;종전;;;;;;;;;;;;;
EVTDESC96020;전쟁이 끝난 후, $COUNTRY$ 사람들은 기념을 위해 $CAPITAL$의 거리로 나왔습니다. 전쟁의 대가는 가혹했지만 오늘 $COUNTRY$은(는) 단지 행복할 뿐입니다.;;;;;;;;;;;;;
EVTOPTA96020;$COUNTRY$ 만세!;;;;;;;;;;;;;
EVTDESC96022;강대국들은 $FROMCOUNTRY_ADJ$의 일부가 우리 $COUNTRY$에 속하므로 반환해야 한다고 결정했습니다. $COUNTRY$ 사람들은 이 소식에 기뻐했습니다.;;;;;;;;;;;;;
EVTNAME96025;적의 적은 동지;;;;;;;;;;;;;
EVTDESC96025;전황을 바꾸려면 $FROMCOUNTRY$의 적성국들을 우리 편으로 끌어들여야 한다는 의견이 있습니다. '적의 적은 나의 동지'라는 속담에 충실하게 말입니다. $FROMCOUNTRY$과(와)의 전쟁에서 승리한다면 이 속담을 마음 속 깊히 새겨야 하겠습니다.;;;;;;;;;;;;;
EVTOPTA96025;그리하라.;;;;;;;;;;;;;
EVTOPTB96025;더이상의 동맹은 필요없다.;;;;;;;;;;;;;
EVTNAME96030;전쟁의 그림자;;;;;;;;;;;;;
EVTDESC96030;$FROMCOUNTRY$ 외교관이 제안서를 가지고 우리나라를 찾았습니다. 적의 적은 친구이니 자신들 편으로 참전해달라는 것입니다. $FROMCOUNTRY$과(와) 싸웠다가 사이좋게 공멸할 수도 있습니다. 선택은 우리 몫입니다.;;;;;;;;;;;;;
EVTOPTA96030;$FROMCOUNTRY$과(와) 동맹을 맺겠다.;;;;;;;;;;;;;
EVTOPTB96030;거절한다.;;;;;;;;;;;;;
EVTNAME96031;$FROMCOUNTRY$의 동맹 수락;;;;;;;;;;;;;
EVTDESC96031;$FROMCOUNTRY$이(가) 동맹에 동의한다는 약속을 보내왔습니다. 그러나 실제로 전쟁에서 함께할지는 아직 확실하지 않습니다.;;;;;;;;;;;;;
EVTOPTA96031;좋아.;;;;;;;;;;;;;
EVTNAME96065;격분!;;;;;;;;;;;;;
EVTDESC96065;수주 전 $CAPITAL$에서 국가 기밀을 훔친 혐의로 한 특사를 기소했습니다. 적성국과의 외교사건이었기 때문에 시민들은 격분했는데, 조사로 밝혀진 진실은 훨씬 더 심각했습니다. 이 사건에는 $COUNTRY$을(를) 불안정하게 만들어 침략에 노출시키려는 음모가 숨겨져 있었습니다. 이 같은 사실이 대중에게 공개되자 $CAPITAL$에서 전면전을 요구하는 시위가 잇따르고 있습니다.;;;;;;;;;;;;;
EVTOPTA96065;$COUNTRY$의 이익을 반드시 지켜내야 한다.;;;;;;;;;;;;;
EVTOPTB96065;전쟁은 감당할 수 없다.;;;;;;;;;;;;;
EVTNAME96066;암살!;;;;;;;;;;;;;
EVTDESC96066;철저한 조사 덕분에 반체제 인사가 저지른 국내의 유명인사 암살사건에 관한 진실이 밝혀졌습니다. 적성국이 $COUNTRY$을(를) 불안정하게 만드려 배후에서 선동했던 것입니다. 수사 결과를 대중에게 공개하자 $CAPITAL$에서 전면전을 요구하는 시위가 잇따르고 있습니다.;;;;;;;;;;;;;
EVTNAME96070;$COUNTRY_ADJ$ 식민지;;;;;;;;;;;;;
EVTDESC96070;평화조약에 따라 $COUNTRY_ADJ$ 식민지와 해외 영토가 해체됩니다. 어느 국가가 이 영토들을 차지할지는 진행 중인 협상에 따라 정채질 예정입니다. 굴욕은 끝나지 않은 것 같습니다.;;;;;;;;;;;;;
EVTOPTA96070;우리 식민제국을 분할할 시간이 왔군.;;;;;;;;;;;;;
EVTNAME96071;$FROMCOUNTRY_ADJ$ 식민지 양도;;;;;;;;;;;;;
EVTDESC96071;승전국들이 $FROMCOUNTRY_ADJ$ 식민지와 해외 영토를 어느 나라가 지배할지 협상을 진행하고 있습니다.;;;;;;;;;;;;;
EVTOPTA96071;식민지 지배권을 수락하겠다.;;;;;;;;;;;;;
EVTOPTB96071;더이상의 식민지는 원하지 않는다.;;;;;;;;;;;;;
EVTOPTC96071;현재 식민지로 족하다.;;;;;;;;;;;;;
EVTDESC96081;회담에서 $FROMCOUNTRY_ADJ$ 일부를 우리에게 배정했습니다. 현재 국경으로는 접근하기가 어려우니 포기하자는 주장도 있습니다. 그러나 $FROMCOUNTRY$이(가) 영토를 유지해도 괜찮을까요?;;;;;;;;;;;;;
EVTNAME96085;$COUNTRY$ 신정부;;;;;;;;;;;;;
EVTDESC96085;외국군은 $CAPITAL$을(를) 떠나며 민주주의 정부를 수립했습니다. 이 정부가 얼마나 오랫동안 지속될지는 모르지만, 많은 사람들은 외국이 부여한 '자유'가 진정한 것인지 의문을 가집니다.;;;;;;;;;;;;;
EVTOPTA96085;새 체제를 환영한다.;;;;;;;;;;;;;
EVTDESC96086;외국군은 $CAPITAL$을(를) 떠나며 파쇼주의 정부를 수립했습니다. 이 정부가 얼마나 오랫동안 지속될지는 모르지만, 많은 사람들은 이미 정부를 전복하려 결심한 것으로 보입니다.;;;;;;;;;;;;;
EVTDESC96087;외국군은 $CAPITAL$을(를) 떠나며 공산주의 정부를 수립했습니다. 이 정부가 얼마나 오랫동안 지속될지는 모르지만, 많은 사람들은 이미 정부를 전복하려 결심한 것으로 보입니다.;;;;;;;;;;;;;
EVTNAME96130;악명의 대가;;;;;;;;;;;;;
EVTDESC96130;국제사회가 $COUNTRY$의 호전적 태도를 논하는 이야기로 웅성거립니다. 일부는 $COUNTRY$의 공격성을 억제할 연합전선이 필요하다고 말합니다. 국민들을 자극해 우리에 대항하게 만드려는 시도까지 등장했습니다. 하나가 아닌 단결한 전세계의 강대국과 싸우지 않도록 앞으로 조심해야 합니다.;;;;;;;;;;;;;
EVTOPTA96130;그냥 놔둬!;;;;;;;;;;;;;
EVTNAME96131;긴장의 안락함;;;;;;;;;;;;;
EVTDESC96131;전세계의 강대국들이 $COUNTRY$의 공격적인 태도를 바꾸려는 노력에 주목했습니다. 어떤 이들은 관계 개선을 제안해오며, 외교관들은 $COUNTRY$이(가) 다른 나라를 문명적인 방식으로 대할 것이라는 희망을 표현하고 있습니다.;;;;;;;;;;;;;
EVTOPTA96131;신뢰에 감사를 표한다.;;;;;;;;;;;;;
EVTNAME96136;$FROMCOUNTRY$의 최후통첩;;;;;;;;;;;;;
EVTDESC96136;$FROMCOUNTRY$ 외교단이 최후통첩을 통보해왔습니다. '$COUNTRY$을(를) 즉시 해체하지 않으면, 전세계 강대국들이 단결해 당신네 국가를 공격할 것이다.' 그들의 요구는 다음과 같습니다.\n\n1. 불법적으로 소유하고 있는 모든 영토 반환.\n2. 현재 독립을 열망하는 모든 국가 해방\n3. 모든 식민지와 해외 영토를 다른 강대국에 양도.\n4. $COUNTRY$은(는) 10년 동안 선전포고 금지.\n\n이러한 요구들이 매우 굴욕적이라는 것은 말할 필요도 없으며, 받아들인다 해도 국민들은 당연히 분노할 것입니다. 다만 이 최후통첩을 받아들이지 않는다면 거대한 전쟁에 직면할 것입니다.;;;;;;;;;;;;;
EVTOPTA96136;절대 안돼!;;;;;;;;;;;;;
EVTOPTB96136;어쩔 수 없이 받아들여야 한다.;;;;;;;;;;;;;
EVTNAME96141;$FROMCOUNTRY$의 참전;;;;;;;;;;;;;
EVTDESC96141;$FROMCOUNTRY$이(가) 전보를 보내왔습니다. '$COUNTRY$이(가) $FROMCOUNTRY$에게 전쟁을 선포했으므로, $COUNTRY$을(를) 무장해제하고 국제사회에 복종하게 만들 때까지 전쟁을 추구하겠다.';;;;;;;;;;;;;
EVTOPTA96141;과연...;;;;;;;;;;;;;
EVTNAME96150;의기양양한 $COUNTRY$;;;;;;;;;;;;;
EVTDESC96150;어느 국가도 $COUNTRY$의 방식에 저항할 수 없음을 입증했습니다. 우리는 원하는 대로 할 것이고, 소위 강대국이 아무리 반대한다 해도 단념하지 않을 것입니다. 지금은 평화롭지만, 만약 다른 나라들이 우리를 막으려고 한다면 평화는 깨질 것입니다.;;;;;;;;;;;;;
EVTOPTA96150;대단해!;;;;;;;;;;;;;
EVT96090OPTA;군주를 내쫓겠다.;;;;;;;;;;;;;
EVT96090OPTB;절대 안돼! 군주제를 유지해야 한다.;;;;;;;;;;;;;
EVTNAME96061;$COUNTRY_ADJ$ 자치령;;;;;;;;;;;;;
EVTDESC96061;종속국 신세에서 해방됐습니다.;;;;;;;;;;;;;
EVTNAME96060;$COUNTRY$의 독립 허가;;;;;;;;;;;;;
EVTDESC96060;해방!;;;;;;;;;;;;;
EVTNAME96019;$COUNTRY_ADJ$ 식민지;;;;;;;;;;;;;
EVTDESC96019;우리는 우리 식민지와 해외 영토의 지불을 협상하는 과정에 있습니다.;;;;;;;;;;;;;
EVT96019OPTA;그래야 한다면.;;;;;;;;;;;;;
EVTNAME96018;$COUNTRY$의 독립 허가;;;;;;;;;;;;;
EVTDESC96018;자유!;;;;;;;;;;;;;
EVTNAME96012;$COUNTRY$의 독립 허가;;;;;;;;;;;;;
EVTDESC96012;자유!;;;;;;;;;;;;;
EVTNAME96003;참전 요청 새로고침;;;;;;;;;;;;;
EVTDESC96003;인공지능에게 새로운 동맹국들을 참전시킬 기회를 제공합니다.;;;;;;;;;;;;;
EVT96003OPTA;집어치워라;;;;;;;;;;;;;
EVTNAME96001;참전 요청;;;;;;;;;;;;;
EVTDESC96001;어떤 동맹국이라도 대전쟁에 불러야 합니다.;;;;;;;;;;;;;
EVT96001OPTA;다들 모여 확인하자.;;;;;;;;;;;;;
