Key;English;;;;;;;;;;;;;
state_of_emergency_modifier;비상사태;;;;;;;;;;;;;
state_of_emergency_modifier_desc;비상 사태 혹은 예외사태란 정부가 일부 기간 동안 행정부 입법부 및 사법부의 일부 기능을 중지 및 변경할 수 있음을 의미합니다. 시민들에게 정상적인 행동을 바꾸도록 경고하고 정부 기관에 비상계획을 이행하도록 명령합니다. 정부는 자연/인간재해 소요나 전쟁 또는 국내외의 무력충돌상황에 따라 비상사태를 선포할 수 있습니다.;;;;;;;;;;;;;
ANY_ALL; 전체 지역;;;;;;;;;;;;;
HAS_NOT_GOODS; 생산품 ≠ ;;;;;;;;;;;;;
IS_IN_REGION; 소속 = ;;;;;;;;;;;;;
TRIGMOD_HEADER;$MONARCHTITLE$ 보고서;;;;;;;;;;;;;
TRIGMODLOST_HEADER;$MONARCHTITLE$ 보고서;;;;;;;;;;;;;
TRIGGER_CIV_PROGRESS_LESS;문명화 진행도: [SUB_A7]Y50[SUB_A7]W%;;;;;;;;;;;;;
had_liberal_revolution;자유주의 혁명 종료;;;;;;;;;;;;;
oriental_crisis_support_OE;오스만 지원;;;;;;;;;;;;;
oriental_crisis_support_Egypt;이집트 지원;;;;;;;;;;;;;
MAJORITY_IS_NOT; 주민 주류 ≠ ;;;;;;;;;;;;;
crimean_surrender;오스만 제국 항복;;;;;;;;;;;;;
colonial_chaos;식민지 혼돈;;;;;;;;;;;;;
colonial_chaos_desc;우리의 식민지는 혼돈 상태에 있으며 질서를 회복하지 않으면 식민지를 잃을 수 있습니다!;;;;;;;;;;;;;
loss_of_control;지배력 상실;;;;;;;;;;;;;
loss_of_control_desc;식민지에 대한 지배력을 상실했습니다.;;;;;;;;;;;;;
ationalist_agitation;민족주의자 선동;;;;;;;;;;;;;
nationalist_agitation_desc;민족주의자들이 이 지방에서 활동 중이며 폭력 사태로 어려움을 겪고 있습니다. 확인하지 않은 채로 남겨두면 우리에 대한 반란이 일어날 수 있습니다.;;;;;;;;;;;;;
patriot_uprising;분리주의자 봉기;;;;;;;;;;;;;
patriot_uprising_desc;외국인 분리주의자들이 지역을 탈취했습니다.;;;;;;;;;;;;;
the_ikhwan;형제;;;;;;;;;;;;;
the_ikhwan_desc;베두인 와하브파 신도(이슬람 근본주의자)와 동맹이 성사됐습니다. 이슬람은 군사적 지원의 대가로 우리나라에 순수하게 남아있을 것입니다.;;;;;;;;;;;;;
mandate;천명;;;;;;;;;;;;;
holy_city;성지;;;;;;;;;;;;;
holy_city_desc;메카는 이슬람의 성지입니다. 메카를 손에 넣는 것은 모든 면에서 이슬람의 운명이 우리 손에 놓여 있음을 증명하는 것입니다.;;;;;;;;;;;;;
self_strengthening_movement;자강 운동;;;;;;;;;;;;;
drive_to_reunify;재통합 운동;;;;;;;;;;;;;
drive_to_reunify_desc;반드시 이 국가를 재통합해야합니다!;;;;;;;;;;;;;
taiping_draft;유사시 징집;;;;;;;;;;;;;
the_female_shortage;성비 불균형;;;;;;;;;;;;;
the_female_shortage_desc;성비 불균형은 중국에 여성보다 남성이 더 많아서 인구 성장이 둔화되고 미혼 남성의 혼란을 초래한다는 것을 의미합니다.;;;;;;;;;;;;;
christian_pamphlets;기독교 책자;;;;;;;;;;;;;
chinese_floods;중국 홍수;;;;;;;;;;;;;
small_country_draft;유사시 징집;;;;;;;;;;;;;
small_country_draft_desc;싸울 수 있는 모든 남자들을 징집해야 합니다!;;;;;;;;;;;;;
daimyo_draft;유사시 징집;;;;;;;;;;;;;;
daimyo_draft_desc;싸울 수 있는 모든 남자들을 징집해야합니다!;;;;;;;;;;;;;
sons_of_liberty;자유의 아들;;;;;;;;;;;;;
sons_of_liberty_desc;미국의 민주적 전통 회귀를 목표로 하며 그렇지 못하면 자신의 주를 합중국에게서 분리하려 하는 이들의 민병대입니다.;;;;;;;;;;;;;
peasant_revolt;반란 개막;;;;;;;;;;;;;
peasant_revolt_desc;지방 정부가 진압하는데 어려움을 겪고 있는 폭동과 묻지마 폭력을 포함헤 지방 내에서의 동요가 증가하고 있습니다.;;;;;;;;;;;;;
shastar_vidya;샤스타 비디야;;;;;;;;;;;;;
shastar_vidya_desc;시크교도의 잘 알려진 전투 양식은 검술과 관련된 무술입니다. 이는 시크교도를 무서운 전투원으로 만들었습니다.;;;;;;;;;;;;;
force_publique;공화군;;;;;;;;;;;;;
force_publique_title;공화군 결성;;;;;;;;;;;;;
force_publique_desc;공화군은 벨기에 국왕이 통치하는 콩고 자유국의 공식적인 군대입니다. 표면적으로는 아랍 노예상인들과 싸우기 위해 설립됐지만, 실상은 할당량을 채우지 못한 이들에게 잔인한 벌을 집행하는 데 쓰였습니다.;;;;;;;;;;;;;
rcmp;캐나다 기마경찰;;;;;;;;;;;;;
rcmp_desc;루퍼트의 영토와 북서부의 영토를 취득함에 따라, 그 땅을 순찰하고 질서를 유지하기 위해 새로운 부대가 필요하다는 것이 점점 더 명백해지고 있습니다.;;;;;;;;;;;;;
kalmar_union;칼마르 동맹;;;;;;;;;;;;;
kalmar_union_desc;다른 스칸디나비아 국가들과 더 긴밀한 유대를 갖자는 원칙에 합의했습니다.;;;;;;;;;;;;;
leader_of_kalmar;칼마르 동맹 맹주;;;;;;;;;;;;;
leader_of_kalmar_desc;스칸디나비아인들을 같은 깃발 아래 통합하는 운동의 맹주입니다.;;;;;;;;;;;;;
customs_union;관세동맹;;;;;;;;;;;;;
customs_union_desc;서로의 관세를 경감시켜주는 관세동맹의 회원국입니다.;;;;;;;;;;;;;
national_instability;국가적 불안정;;;;;;;;;;;;;
national_instability_desc;혼란 상태에 빠져, 반란의 위기에 처해있습니다.;;;;;;;;;;;;;
home_of_the_mormons;모르몬교도들의 집;;;;;;;;;;;;;
home_of_the_mormons_desc;모르몬교도들은 일부다처제를 믿으므로 많은 아내들을 데려가며 신도들에게 대가족을 장려합니다.;;;;;;;;;;;;;
gateway_to_america;미국으로의 관문;;;;;;;;;;;;;
gateway_to_america_desc;유럽에서 온 많은 이민자들이 엘리스섬의 관문을 통과할 것이고, 그들 중 많은 이민자들이 뉴욕에 남을 것입니다.;;;;;;;;;;;;;
carlist_sympathies;카를리스타를 향한 동정;;;;;;;;;;;;;
carlist_sympathies_desc;카를리스타가 에스파냐 정부를 무너뜨리기를 원하는 이들에게 동정심을 얻고 있습니다.;;;;;;;;;;;;;
christino_sympathies;크리스티노를 향한 동정;;;;;;;;;;;;;
christino_sympathies_desc;카리스티노가 에스파냐 정부를 무너뜨리기를 원하는 이들에게 동정심을 얻고 있습니다.;;;;;;;;;;;;;
war_torn;전쟁의 상흔;;;;;;;;;;;;;
war_torn_desc; 반란으로 황폐해졌습니다.;;;;;;;;;;;;;
boxer_rebellion;의화단의 난;;;;;;;;;;;;;
boxer_rebellion_desc;의화단 반군이 장악해 매우 혼란스러운 상태입니다.;;;;;;;;;;;;;
new_country;신설국;;;;;;;;;;;;;
new_country_desc;이 나라는 이제 막 설립됐습니다. 시민들은 당분간 이 나라를 유지하기 위해 더 열심히 일할 것입니다.;;;;;;;;;;;;;
jewish_diaspora;유대인 디아스포라;;;;;;;;;;;;;
jewish_diaspora_desc;유대인 공동체가 이스라엘의 창조에 반응하여 조직되고 있습니다.;;;;;;;;;;;;;
declaration_of_the_rights_of_man;인권 선언;;;;;;;;;;;;;
declaration_of_the_rights_of_man_desc;프랑스 혁명의 기본권을 설명한 문서인 <인간의 권리와 시민의 권리 선언>은 왕국의 모든 재산의 개인과 집단적 권리를 보편적 권리로 규정했습니다.;;;;;;;;;;;;;
caste_privileges;카스트 특권;;;;;;;;;;;;;
caste_privileges_desc;인도의 영국 제국주의자들의 초기 목표는 자신들을 따르는 이들을 지역 엘리트 계층우로 만드는 것이었습니다. 식민지 내에서 두각을 나타냈던 부유한 인도인들은 성공적으로 새로운 카스트를 형성했습니다.;;;;;;;;;;;;;
sati_abolished;사티 폐지;;;;;;;;;;;;;
sati_abolished_desc;인도 일부 지역에서는 사티(살아있는 과부를 죽은 남편의 시신과 함께 화장하는 힌두교 풍습)의 폐지가 믿을 수 없을 정도로 인기가 없었습니다.;;;;;;;;;;;;;
pig_fat_cartridges;돼지기름 탄약통;;;;;;;;;;;;;
pig_fat_cartridges_desc;돼지기름으로 기름칠한 화약 탄약통은 세포이 병사들에게 모욕으로 여겨졌고, 인도와 식민제국 사이의 증가하는 문화적 균열의 더 큰 증거로 여겨졌습니다.;;;;;;;;;;;;;
carlism;카를로스파;;;;;;;;;;;;;
carlism_desc;카를로스파는 에스파냐의 전통주의적이며 정통주의적인 정치 운동으로, 카를로스 왕자의 왕위 상속법 분쟁과 보르본 왕가의 알폰소 가문에 대한 광범위한 불만을 통해 수립됐습니다.;;;;;;;;;;;;;
spirit_of_freedom;자유의 영혼;;;;;;;;;;;;;
spirit_of_freedom_desc;어떤 문화권에서는 민주주의와 개인의 자유에 대한 개념이 바로 그들의 정신에 뿌리를 두고 있습니다.;;;;;;;;;;;;;
national_identity;민족 정체성;;;;;;;;;;;;;
national_identity_desc;19세기 후반에 정립된 민족주의 개념은 외세에게서의 독립을 추구하거나 모국에 합류하려는 반란의 촉매제 역할을 했습니다.;;;;;;;;;;;;;
anti_jacobin_movement;반자코뱅파;;;;;;;;;;;;;
anti_jacobin_movement_desc;자코뱅파와 그들의 민주주의 투쟁에 대한 반발로 인해 국가의 반동주의자들이 매우 확고하게 자리잡았습니다. 민주주의는 유용하거나 좋은 가능성을 지니기보다는 '본질적으로 결함이 있고 잘못된 생각'이라고 합니다.;;;;;;;;;;;;;
sharia_law;샤리아;;;;;;;;;;;;;
sharia_law_desc;샤리아는 종교 지도자들에게 인정받은 이슬람 판사가 집행하는 이슬람의 엄격한 도덕 및 종교법입니다.;;;;;;;;;;;;;
ottoman_oppression;기독교도 억압;;;;;;;;;;;;;
ottoman_oppression_desc;지즈야(이교도에게 부과하는 인두세)와 일과에 대한 제한과 같은 제국 내의 기독교인들에 관한 많은 정책이 이후의 발칸반도 문제의 발판을 마련했습니다. 이러한 정책은 1839년에 탄지마트 개혁이 시행되면서 철회됐습니다.;;;;;;;;;;;;;
ottomanism_reform;제국개혁칙령;;;;;;;;;;;;;
ottomanism_reform_desc;제국개혁칙령은 제국의 소수민족들 간의 종교적 평등을 확립했고, 국경 내의 민족주의자들의 우려를 잠재우기 위해 많은 노력을 기울였습니다.;;;;;;;;;;;;;
great_statesman;위대한 정치가;;;;;;;;;;;;;
great_statesman_desc;우리 지도자께서는 만국의 지도자들이 존경하는 유능한 연설가이자 훌륭한 정치가입니다.;;;;;;;;;;;;;
begin_revolution;혁명국;;;;;;;;;;;;;
begin_revolution_desc;비록 혼란과 반란의 와중에 세워진 신생국이지만, 국민들은 기꺼이 싸우려 합니다!;;;;;;;;;;;;;
zemene_mesafint;판관시대;;;;;;;;;;;;;
zemene_mesafint_desc;판관시대란 에티오피아의 통치자들이 단일 황제 아래 국가를 통합하려 투쟁한 시기를 가리킵니다.;;;;;;;;;;;;;
irish_integration;아일랜드 통합;;;;;;;;;;;;;
irish_oppression;궁핍한 아일랜드인;;;;;;;;;;;;;
irish_oppression_desc;부재자 토지소유제는 아일랜드에서 비효율성의 본보기였고, 이로 인해 아일랜드인들은 수세기 동안 영국의 지배에 맞서 싸우고 반항했습니다.;;;;;;;;;;;;;
land_of_opportunity;기회의 땅;;;;;;;;;;;;;
land_of_opportunity_desc;19세기 후반 우리의 산업은행체계와 자유로운 인구 이동으로 말미암아 스위스에 정착하는 이주 노동자가 급증했습니다.;;;;;;;;;;;;;
swiss_banking;스위스 은행;;;;;;;;;;;;;
swiss_banking_desc;스위스 은행은 효율적이고 국제적으로 인정받는 은행체계를 운영합니다. 전 세계의 부자들이 은행 업무를 위해 스위스로 몰려옵니다.;;;;;;;;;;;;;
anynomous_investor_business;익명투자사업;;;;;;;;;;;;;
anynomous_investor_business_desc;이러한 형태의 사업 문화는 소유주들이 그 사업을 투자자로 취급함을 의미했습니다. 소유권은 물건을 생산하고 파는 것이 아님에도 소유주가 된 유일한 이유는 사업비가 상승하는 것을 보기 위해서입니다. 이 관습은 전문적이긴 하지만, 헌신적인 노력이 부족했으며, 극도로 위험을 회피했습니다.;;;;;;;;;;;;;
boer_republic;보어인 공화국;;;;;;;;;;;;;
integration_refusal;통합 거부;;;;;;;;;;;;;
integration_refusal_desc;다른 국가에 통합되지 않고 별도의 정체성을 유지합니다.;;;;;;;;;;;;;
core_integration;영유권 편입;;;;;;;;;;;;;
core_integration_desc;국가의 일부분으로 통합하고 있습니다. 느린 진행으로 인해 문제가 발생할 수 있습니다.;;;;;;;;;;;;;
national_assimilation_complete;민족 동화 완료;;;;;;;;;;;;;
national_assimilation;민족 동화;;;;;;;;;;;;;
national_assimilation_desc;다른 나라들의 영유권을 제거하기 위해 동화 과정을 밟고 있습니다.;;;;;;;;;;;;;
national_assimilation_rejection;동화 거부;;;;;;;;;;;;;
national_assimilation_rejection_desc;소수집단들이 국가적 동화를 거부했습니다.;;;;;;;;;;;;;
national_assimilation_acceptance;동화 수용;;;;;;;;;;;;;
national_assimilation_acceptance_desc;소수집단들이 국가적 동화를 수용했습니다.;;;;;;;;;;;;;
christian_repression;기독교도 탄압;;;;;;;;;;;;;
christian_repression_desc;태평천국의 전도사들이 적극적으로 억압받고 있습니다.;;;;;;;;;;;;;
anti_manchu_sentiment;반만주감정;;;;;;;;;;;;;
anti_manchu_sentiment_desc;청나라 통치자들에 대한 원한이 대단합니다.;;;;;;;;;;;;;
louis_napoleon_iii;루이나폴레옹 보나파르트;;;;;;;;;;;;;
louis_napoleon_iii_desc;나폴레옹 1세의 조카이자 계승자인 루이나폴레옹은 자신을 무적의 존재로 만드는 유산을 지녔습니다. 비록 때때로 그의 결정이 무모해보이고 군사적 가치가 의심스럽더라도 말입니다.;;;;;;;;;;;;;
begin_disunited_states;분열된 국가;;;;;;;;;;;;;
begin_disunited_states_desc;미국이 민주주의에서 멀어지는 가운데, 폭정에 맞서 싸우기 위한 조직 이른바 자유의 아들들이 생겨났습니다. 이 저항이 진정되려면 시간이 걸릴 것이고, 그렇게 될 때까지는 연방 탈퇴에 대한 왈가왈부, 심지어는 공공연한 반란이 있을 것입니다.;;;;;;;;;;;;;
election_cooldown;정치풍경 변동 중;;;;;;;;;;;;;
desc_election_cooldown;유권자들이 중요한 모든 쟁점들에 대해 토론하고 또 토론하고 있습니다.;;;;;;;;;;;;;
violent_elections;폭력선거;;;;;;;;;;;;;
desc_violent_elections;선거운동이 폭력적으로 진행되고 있습니다.;;;;;;;;;;;;;
social_reform_movement;사회개혁운동;;;;;;;;;;;;;
desc_social_reform_movement;사회주의자들과 공산주의자들은 더 나은 생활 환경을 위한 전국적인 의제를 상정했습니다.;;;;;;;;;;;;;
wartime_elections;전시선거;;;;;;;;;;;;;
wartime_elections_desc;선거를 전쟁 시기에 치르고 있습니다. 전쟁이라는 사건은 토론에서 중심적인 역할을 했습니다.;;;;;;;;;;;;;
loss_of_support;지지 상실;;;;;;;;;;;;;
loss_of_support_desc;여당이 지지를 잃었습니다.;;;;;;;;;;;;;
support_the_government;정부 지원;;;;;;;;;;;;;
support_the_government_desc;여당이 추가적인 지지를 받고 있습니다.;;;;;;;;;;;;;
nothing_stops_progress;멈추지 않는 진보;;;;;;;;;;;;;
nothing_stops_progress_desc;반동주의 선동자들을 체포하고 계획대로 개혁을 진행하고 있습니다.;;;;;;;;;;;;;
slow_down_progress;개혁 제한;;;;;;;;;;;;;
