Key;English;;;;;;;;;;;;;
EVTDESC20002_NEWS_LONG;수천명의 인파가 $CAPITAL$의 중앙광장에 몰려들어 민주적 헌법, 보편적 참정권, $COUNTRY$ 독재정권의 종식을 요구했습니다. $COUNTRY$군은 군중을 공격하라는 명령을 기다리며 대기했지만 일부 군인들은 대중의 요구에 응하는 것이 나은지를 고려하고 있습니다.;;;;;;;;;;;;;
EVTDESC20002_NEWS_MEDIUM;수천명의 인파가 $CAPITAL$의 중앙광장에 몰려들어 민주적 헌법, 보편적 참정권, $COUNTRY$ 독재정권의 종식을 요구했습니다.;;;;;;;;;;;;;
EVTDESC20002_NEWS_SHORT;수천명의 인파가 $CAPITAL$의 중앙광장에 몰려들어 민주적 헌법, 보편적 참정권, $COUNTRY$ 독재정권의 종식을 요구했습니다.;;;;;;;;;;;;;
EVTNAME20006_NEWS_TITLE;$COUNTRY$ 독재자 암살!;;;;;;;;;;;;;
EVTDESC20006_NEWS_LONG;오늘은 $COUNTRY$에게는 암울한 날입니다. $CAPITAL$에서 $COUNTRY$의 대통령이 급진자유주의자들이 모의한 매복공격에 암살당했습니다. 벌써 파벌들이 대통령직을 대신할 후계자를 찾거나 $COUNTRY$ 독재를 완전히 타도하기 위해 움직이고 있다는 말이 있지만, 일단은 전국이 슬픔에 빠져 있습니다.;;;;;;;;;;;;;
EVTDESC20006_NEWS_MEDIUM;오늘은 $COUNTRY$에게는 암울한 날입니다. $CAPITAL$에서 $COUNTRY$의 대통령이 급진자유주의자들이 모의한 매복공격에 암살당했습니다. 일단 파벌들이 대통령직을 대신할 후계자를 찾고 있지만, 전국이 슬픔에 빠져 있습니다.;;;;;;;;;;;;;
EVTDESC20006_NEWS_SHORT;오늘은 $COUNTRY$에게는 암울한 날입니다. $CAPITAL$에서 $COUNTRY$의 대통령이 급진자유주의자들이 모의한 매복공격에 암살당했습니다. 일단 파벌들이 대통령직을 대신할 후계자를 찾고 있습니다.;;;;;;;;;;;;;
EVTNAME97205_NEWS_TITLE;$COUNTRY$의 킬 운하 장악;;;;;;;;;;;;;
EVTDESC97205_NEWS_LONG;최근 $COUNTRY$이(가) 킬 지방을 군사 및 행정적으로 인수하자 국제무역회사 간에 많은 논의가 이루어졌는데, 바로 킬 지방에 '킬 운하'가 위치하기 때문입니다. 킬 운하는 이미 중요한 해상 교통로로 여겨지며 북해와 발트해 사이의 이동거리를 상당히 단축했습니다. 주요 무역회사는 모두 $COUNTRY$ 거래위원회에 운하 통과에 대한 공식적인 권리를 신청했습니다.;;;;;;;;;;;;;
EVTDESC97205_NEWS_MEDIUM;최근 $COUNTRY$이(가) '킬 운하'를 군사 및 행정적으로 인수하자 국제무역회사 간에 많은 논의가 이루어졌습니다. 이 운하는 북해와 발트해 사이의 이동거리를 상당히 단축한 중요한 해상경로로 여겨집니다.;;;;;;;;;;;;;
