Key;English;;;;;;;;;;;;;
HAS_NO_UNION_TAG; 같은 문화권을 아우르는 문화연합 = 0;;;;;;;;;;;;;;;
UNIT_BUILD_TIME_IW;$VAL$일 소요;;;;;;;;;;;;;;;
HAS_GOODS; 생산품 ≠ ;produces ;;;;;;;;;;;;;;;
shinto;신토;;;;;;;;;;;;;;;
sephardic;세파르디계 유대;;;;;;;;;;;;;;;
far_east_asian;극동 문화권;;;;;;;;;;;;;;;
HAS_SIEGE; = 포위 상태;;;;;;;;;;;;;;;
regular;정규군;;;;;;;;;;;;;;;
regular_short;정규군;;;;;;;;;;;;;;;
horse_artillery;기동포병;;;;;;;;;;;;;;;
horse_artillery_short;기동포병;;;;;;;;;;;;;;;
no_personality;개성 없음;No Personality;;;;;;;;;;;;;;;
active_p;활동적임;Active;;;;;;;;;;;;;;;
au_fait;정통함;Au'fait;;;;;;;;;;;;;;;
apathetic;심드렁함;Apathetic;;;;;;;;;;;;;;;;;
audacious;대담함;Audacious;;;;;;;;;;;;;;;
able;Able;유능함;Capable;;;;;;;;;;;;;;;
aweless;두려움이 없음;Aweless;;;;;;;;;;;;;;;
aggressive;공격적임;Aggressive;;;;;;;;;;;;;;;
arrogant;오만함;Arrogant;;;;;;;;;;;;;;;
balanced_p;균형적임;Balanced;;;;;;;;;;;;;;;
bigoted;편견이 심함;Bigoted;;;;;;;;;;;;;;;
brilliant;재능이 뛰어남;Brilliant;;;;;;;;;;;;;;;
brutish;야성적임;Brutish;;;;;;;;;;;;;;;
bold;용감함;Bold;;;;;;;;;;;;;;;
brash;자신만만함;Brash;;;;;;;;;;;;;;;
ballsy;배짱 있음;Ballsy;;;;;;;;;;;;;;;
bastard;버릇없음;Bastard;;;;;;;;;;;;;;;
cautious;조심스러움;Cautious;;;;;;;;;;;;;;;
coward;겁이 많음;Coward;;;;;;;;;;;;;;;
chickenhearted;소심함;Chickenhearted;;;;;;;;;;;;;;;
craven;비겁함;Craven;;;;;;;;;;;;;;;
competent;능숙함;Competent;;;;;;;;;;;;;;;
clever;영리함;Clever;;;;;;;;;;;;;;;
careless;경솔함;Careless;;;;;;;;;;;;;;;
calm;침착함;Calm;;;;;;;;;;;;;;;
cool_minded;차분함;Coolminded;;;;;;;;;;;;;;;
careful;세심함;Careful;;;;;;;;;;;;;;;
cruel;잔인함;Cruel;;;;;;;;;;;;;;;;;
choleric;화를 잘 냄;Choleric;;;;;;;;;;;;;;;
charismatic;사람들을 잘 휘어잡음;Charismatic;;;;;;;;;;;;;;;
chivalrous;예의 바름;Chivalrous;;;;;;;;;;;;;;;
confident;자신감 넘침;Confident;;;;;;;;;;;;;;;
doughty;용맹함;Doughty;;;;;;;;;;;;;;;
defiant;반항적임;Defiant;;;;;;;;;;;;;;;
disciplined;잘 통솔됨;Disciplined;;;;;;;;;;;;;;;
diligent;근면함;Diligent;;;;;;;;;;;;;;;;;
dauntless;굴하지 않음;Dauntless;;;;;;;;;;;;;;;
daring;모험적임;Daring;;;;;;;;;;;;;;;
disorderly;어수선함;Disorderly;;;;;;;;;;;;;;;
decisive;결단력 있음;Decisive;;;;;;;;;;;;;;;;;
dumb;멍청함;Dumb;;;;;;;;;;;;;;;;;
diplomatic;사교적임;Diplomatic;;;;;;;;;;;;;;;
deeply_religious;독실함;Deeply Religious;;;;;;;;;;;;;;;
expert;숙련됨;Expert;;;;;;;;;;;;;;;
energetic;정력적임;Energetic;;;;;;;;;;;;;;;;;
efficient;능률적임;Efficient;;;;;;;;;;;;;;;
emotional;감정적임;Emotional;;;;;;;;;;;;;;;;;
earnest;성실함;Earnest;;;;;;;;;;;;;;;
fearless;두려움이 없음;Fearless;;;;;;;;;;;;;;;;;
forgiving;너그러움;Forgiving;;;;;;;;;;;;;;;;;
fanatic;광신도;Fanatic;;;;;;;;;;;;;;;
gallant;정중함;Gallant;;;;;;;;;;;;;;;
glory_hound;야심적임;Glory Hound;;;;;;;;;;;;;;;
genius;천재;Genius;;;;;;;;;;;;;;;;;
gutsy;배짱 있음;Gutsy;;;;;;;;;;;;;;;
harsh;가혹함;Harsh;;;;;;;;;;;;;;;
hellbent;무모함;Hellbent;;;;;;;;;;;;;;;
heroic;영웅적임;Heroic;;;;;;;;;;;;;;;
irresponsible;무책임함;Irresponsible;;;;;;;;;;;;;;;;;
imaginative;창의적임;Imaginative;;;;;;;;;;;;;;;;;
indecisive;우유부단함;Indecisive;;;;;;;;;;;;;;;;;
inspiring;고무적임;Inspiring;;;;;;;;;;;;;;;
impetuous;성급함;Impetuous;;;;;;;;;;;;;;;
implacable;완강함;Implacable;;;;;;;;;;;;;;;
imperious;고압적임;Imperious;;;;;;;;;;;;;;;
irate;쉽게 격분함;Irate;;;;;;;;;;;;;;;
intuitive;직감적임;Intuitive;;;;;;;;;;;;;;;
impulsive;충동적임;Impulsive;;;;;;;;;;;;;;;
incapable;무능함;Incapable;;;;;;;;;;;;;;;
indifferent;무관심함;Indifferent;;;;;;;;;;;;;;;
intelligent;총명함;Intelligent;;;;;;;;;;;;;;;
inept;서투름;Inept;;;;;;;;;;;;;;;
inefficient;능률 낮음;Inefficient;;;;;;;;;;;;;;;
keen;열정적임;Keen;;;;;;;;;;;;;;;
lilylivered;겁쟁이;Lilylivered;;;;;;;;;;;;;;;
lackluster;활기 없음;Lackluster;;;;;;;;;;;;;;;
merciless;무자비함;Merciless;;;;;;;;;;;;;;;
meticulous;꼼꼼함;Meticulous;;;;;;;;;;;;;;;
manful;씩씩함;Manful;;;;;;;;;;;;;;;
madman;미치광이;Madman;;;;;;;;;;;;;;;
mediocre;평범함;Mediocre;;;;;;;;;;;;;;;
maladroit;솜씨 없음;Maladroit;;;;;;;;;;;;;;;
openminded;속이 트임;Openminded;;;;;;;;;;;;;;;
persistant;집요함;Persistant;;;;;;;;;;;;;;;
pompous;거만함;Pompous;;;;;;;;;;;;;;;;;
paranoid;피해망상적임;Paranoid;;;;;;;;;;;;;;;;;
polite;공손함;Polite;;;;;;;;;;;;;;;
pusillanimous;심약함;Pusillanimous;;;;;;;;;;;;;;;
pisspoor;질이 낮음;Pisspoor;;;;;;;;;;;;;;;
perverse;비뚤어짐;Perverse;;;;;;;;;;;;;;;
resourceful;지약 있음;Resourceful;;;;;;;;;;;;;;;
respectful;존경을 받음;Respectful;;;;;;;;;;;;;;;;;
romantic;낭만적임;Romantic;;;;;;;;;;;;;;;
relentless;끈질김;Relentless;;;;;;;;;;;;;;;
reserved;내성적임;Reserved;;;;;;;;;;;;;;;
resolute;확고함;Resolute;;;;;;;;;;;;;;;
