disarming;군비제한;;;;;;;;;;;;;
HAS_NOT_RECENTLY_LOST_WAR; 최근 5년 사이의 패전 횟수 < 1;;;;;;;;;;;;;
HAS_RECENTLY_LOST_WAR; 최근 5년 사이의 패전 횟수 ≥ 1;;;;;;;;;;;;;
IN_SAME_SPHERE; 같은 영향권에 속합니다.;;;;;;;;;;;;;
NOR_reactionary;근왕당;;;;;;;;;;;;;
ATJ_reactionary;민족주의 파벌;;;;;;;;;;;;;
ATJ_liberal;자유당;;;;;;;;;;;;;
ATJ_anarcho_liberal;급진당;;;;;;;;;;;;;
ATJ_socialist;사회당;;;;;;;;;;;;;
ATJ_communist;공산당;;;;;;;;;;;;;
ATJ_fascist;파쇼당;;;;;;;;;;;;;
CAL_conservative;캘리포니아 공화당;;;;;;;;;;;;;
KHI_conservative;왕당파;;;;;;;;;;;;;
KHI_liberal;자유당;;;;;;;;;;;;;
KHI_reactionary;민족주의 파벌;;;;;;;;;;;;;
KHI_anarcho_liberal;급진당;;;;;;;;;;;;;
KHI_socialist;사회당;;;;;;;;;;;;;
KHI_communist;공산당;;;;;;;;;;;;;
KHI_fascist;파쇼당;;;;;;;;;;;;;
MAD_conservative;왕당파;;;;;;;;;;;;;
MAD_liberal;자유당;;;;;;;;;;;;;;
MAD_reactionary;민족주의 파벌;;;;;;;;;;;;;
MAD_anarcho_liberal;급진당;;;;;;;;;;;;;
MAD_socialist;사회당;;;;;;;;;;;;;
MAD_communist;공산당;;;;;;;;;;;;;
MAD_fascist;파쇼당;;;;;;;;;;;;;
TRI_conservative;왕당파;;;;;;;;;;;;;
TRI_liberal;자유당;;;;;;;;;;;;;
TRI_reactionary;민족주의 파벌;;;;;;;;;;;;;
TRI_anarcho_liberal;급진당;;;;;;;;;;;;;
TRI_socialist;사회당;;;;;;;;;;;;;
TRI_communist;공산당;;;;;;;;;;;;;
TRI_fascist;파쇼당;;;;;;;;;;;;;
TEX_communist;공산당;;;;;;;;;;;;;
BAD_fascist;국가사회주의 노동자당;;;;;;;;;;;;;
BAV_fascist;국가사회주의 노동자당;;;;;;;;;;;;;
WEI_fascist;국가사회주의 노동자당;;;;;;;;;;;;;
WLL_fascist;렉스당;;;;;;;;;;;;;
NEW_fascist;파쇼당;;;;;;;;;;;;;
DIPLOMACY_CHANCE_JOIN_WAR;참전 가능성: [SUB_A7]Y$VAL$[SUB_A7]W;;;;;;;;;;;;;
PO_ISBETTER;제안을 거부할 경우:\n 불만도 [SUB_A7]R+$MIL$[SUB_A7]W, 염전도 [SUB_A7]R+$WE$[SUB_A7]W;;;;;;;;;;;;;
leave_soi_title;영향권 이탈;;;;;;;;;;;;;
leave_soi_desc;영향권을 떠날 수 있으나, 맹주가 선전포고를 해올 수도 있습니다.;;;;;;;;;;;;;
NEW_PARTY_AVAIL_SETUP;새로운 정당이 창당됐을 때;;;;;;;;;;;;;
NEW_PARTY_AVAIL_HEADER;새 정당의 창당;;;;;;;;;;;;;
NEW_PARTY_AVAIL_1;$PARTY$ 창당;;;;;;;;;;;;;
NEW_PARTY_AVAIL_2;*;;;;;;;;;;;;;
NEW_PARTY_AVAIL_3;*;;;;;;;;;;;;;
NEW_PARTY_AVAIL_4;*;;;;;;;;;;;;;
NEW_PARTY_AVAIL_5;*;;;;;;;;;;;;;
NEW_PARTY_AVAIL_6;*;;;;;;;;;;;;;
NEW_PARTY_AVAIL_BTN1;확인;;;;;;;;;;;;;
NEW_PARTY_AVAIL_BTN2;확인;;;;;;;;;;;;;
NEW_PARTY_AVAIL_BTN3;참조;;;;;;;;;;;;;
NEW_PARTY_AVAIL_LOG;새로운 정당이 창당됐습니다.;;;;;;;;;;;;;
PARTY_UNAVAIL_SETUP;정당이 해산됐습니다.;;;;;;;;;;;;;
PARTY_UNAVAIL_HEADER;정당 해산;;;;;;;;;;;;;
PARTY_UNAVAIL_1;$PARTY$ 해산;;;;;;;;;;;;;
PARTY_UNAVAIL_2;*;;;;;;;;;;;;;
PARTY_UNAVAIL_3;*;;;;;;;;;;;;;
PARTY_UNAVAIL_4;*;;;;;;;;;;;;;
PARTY_UNAVAIL_5;*;;;;;;;;;;;;;
PARTY_UNAVAIL_6;*;;;;;;;;;;;;;
PARTY_UNAVAIL_BTN1;확인;;;;;;;;;;;;;
PARTY_UNAVAIL_BTN2;확인;;;;;;;;;;;;;
PARTY_UNAVAIL_BTN3;참조;;;;;;;;;;;;;
PARTY_UNAVAIL_LOG;정당이 해산됐습니다.;;;;;;;;;;;;;
PRODUCTION_FACTORY_DAYSRED_TOOLTIP;채무 초과 일수: [SUB_A7]R$DAYS$[SUB_A7]W일;;;;;;;;;;;;;
EXPENSE_NO_AFFORD;지불할 양이 [SUB_A7]R$VAL$[SUB_A7]W[SUB_A4] 밖에 없습니다!;;;;;;;;;;;;;
PRODUCTION_FACTORY_DAYSRED_TOOLTIP;채무 초과 일수: [SUB_A7]R$DAYS$[SUB_A7]W일;;;;;;;;;;;;;
ENG_presidential_dictatorship;그레이트브리튼;;;;;;;;;;;;;
EVTNAME16451;주둔지 습격;;;;;;;;;;;;;
EVTDESC16451;텍사스 혁명 초기에 텍사스인들은 멕시코군 주둔지를 여럿 습격해 성공했습니다. 이런 습격을 통해 텍사스군은 절실히 필요했던 자금과 보급품을 손에 넣었습니다.;;;;;;;;;;;;;
CB_ALLOWED_GUNBOAT;차관 상환;;;;;;;;;;;;;
