RALLY_POINT_NAVY_MERGE_INFO;¸ñÀûÁö¿¡¼­ÀÇ º´ÇÕ ¿©ºÎ¸¦ ¼³Á¤/ÇØÁ¦ÇÕ´Ï´Ù.\n(ÀüÇÔµéÀÌ °¡Àå Å« ÇÔ´ë¿¡ º´ÇÕµË´Ï´Ù.);;;;;;;;;;;;;
RALLY_POINT_NAVY_PROVINCE_MERGE_INFO;¸ðµç ÇÔ´ë°¡ ÇØ´ç Ç×±¸¿¡ Á¤¹ÚÇÑ °¡Àå Å« ÇÔ´ë¿¡ º´ÇÕµË´Ï´Ù.;;;;;;;;;;;;;
BUDGET_INTERNALLY_SOLD_STOCKPILE;°Ç¼³°èÈ¹¿¡ ÇÊ¿äÇÑ ºñÃàÇ° ÆÇ¸Å: §Y$VAL$§W¤;;;;;;;;;;;;;
OL_VIEW_RALLYPOINTS_NAVY_TOOLTIP;±ÙÃ³¿¡¼­ ÆíÁ¦ÇÑ ¸ðµç ÇÔ´ë°¡ §Y$PROV$§W(À¸)·Î ÇâÇÕ´Ï´Ù.;;;;;;;;;;;;;
OL_VIEW_RALLYPOINTS_NAVY_MERGE_TOOLTIP; ±×¸®°í ÀÌ°÷¿¡ µµÂøÇÏ¸é °¡Àå Å« ÇÔ´ë·Î º´ÇÕÇÕ´Ï´Ù.;;;;;;;;;;;;;
ARMY_SPLIT_AND_LOAD_DESC_1;§Y$UNIT$§WÀ»(¸¦) §G$NUM$§WÃ´À¸·Î ºÐÇÒÇÕ´Ï´Ù.;;;;;;;;;;;;;
ARMY_SPLIT_AND_LOAD_DESC_2; - §Y$NAVY$§W (Áß·®: $NUM$);;;;;;;;;;;;;
ARMY_SPLIT_AND_LOAD_DESC_3;§RÃÑ Áß·®($NUM$)À» ³Ñ¾î¼­´Â ¿©´ÜÀº ½Â¼±½ÃÅ³ ¼ö ¾ø½À´Ï´Ù.§W;;;;;;;;;;;;;
UW_NOT_POSSIBLE_TO_ATTACH;¹è¼ÓÇÒ ¾Æ±º ºÎ´ë°¡ ¾ø½À´Ï´Ù.;;;;;;;;;;;;;
UW_UNITS_ATTACHED;´Ù¸¥ ºÎ´ë¿¡ ¹è¼ÓÇß½À´Ï´Ù.;;;;;;;;;;;;;
UW_ATTACH_TO;Ç×»ó $NAME$À»(¸¦) µû¶ó´Ù´Ïµµ·Ï ¹è¼ÓÇÕ´Ï´Ù.;;;;;;;;;;;;;
UW_DETACH_FROM;$NAME$°ú(¿Í)ÀÇ ¹è¼ÓÀ» ÇØÁ¦ÇÕ´Ï´Ù.;;;;;;;;;;;;;
IW_SUPPLY_COST;ÇØ´ç ºÎ´ë¸¦ À¯ÁöÇÏ·Á¸é º¸±ÞÇ°À» §Y$VAL$§W¤ ÁöºÒÇØ¾ß ÇÕ´Ï´Ù.;;;;;;;;;;;;;
HAS_NOT_CULTURE_CORE; $CUL$ ¡Á $WHERE$ÀÇ ¹®È­Àû ±â¹Ý\n;;;;;;;;;;;;;
HAS_CULTURE_CORE; $CUL$ = $WHERE$ÀÇ ¹®È­Àû ±â¹Ý\n;;;;;;;;;;;;;
PROMOTION_EFFECT_FROM_ADMIN;½Â°Ý ¼Óµµ¿¡ ¿µÇâÀ» ÁÖ´Â ÇàÁ¤ È¿À²: §Y$PERCENTAGE$§W;;;;;;;;;;;;;
OUTLINER_TOOLTIP_FACTORY_OCCUPANCY;Áö¿ª °øÀå °í¿ë·ü: $PERC$%;;;;;;;;;;;;;
REVOLTALLIANCE_LOG;Çõ¸í ¹ß¹ß! µ¿¸ÍÀÌ ÆÄ±âµÆ½À´Ï´Ù!;;;;;;;;;;;;;
tut_5b_12b;°è¼ÓÇÏ·Á¸é °áÁ¤ Ç×¸ñÀ» Å¬¸¯ÇÏ¼¼¿ä.;;;;;;;;;;;;;
tut_5b_14b;°è¼ÓÇÏ·Á¸é ¿îµ¿ Ç×¸ñÀ» Å¬¸¯ÇÏ¼¼¿ä.;;;;;;;;;;;;;
Workforce;³ëµ¿·Â;;;;;;;;;;;;;
Ideology;ÀÌ³ä;;;;;;;;;;;;;
SELL;ÆÇ¸Å;;;;;;;;;;;;;
BUY;±¸¸Å;;;;;;;;;;;;;
Start Research;¿¬±¸ ½ÃÀÛ;;;;;;;;;;;;;
Maneuver;±âµ¿·Â;;;;;;;;;;;;;
LEDGER;Åë°è;;;;;;;;;;;;;
OK;È®ÀÎ;;;;;;;;;;;;;
TOPBAR_POPULATION;¼ºÀÎ ³²¼º ÀÎ±¸: $CURR$¸í, ÃÖ±Ù §Y$DAYS$§!ÀÏ µ¿¾ÈÀÇ ¼ºÀÎ ³²¼º ÀÎ±¸ º¯µ¿: $CHANGE$¸í;;;;;;;;;;;;;
DIG_IN_TOOLTIP_1;ÂüÈ£ ¼öÁØ: $LEV$/$MAX$´Ü°è;;;;;;;;;;;;;
DIG_IN_TOOLTIP_2;ÂüÈ£ ¼öÁØÀ» §G+$VAL$§W Áõ°¡½ÃÅ°´Âµ¥ $DAYS$§WÀÏÀÌ ¼Ò¿äµË´Ï´Ù.;;;;;;;;;;;;;
in_bankrupcy;ÆÄ»ê;;;;;;;;;;;;;
in_bankrupcy_desc;ÆÄ»êÇß½À´Ï´Ù!;;;;;;;;;;;;;
