EVTNAME5002;스탠리컵;;;;;;;;;;;;;
EVTDESC5002;캐나다 자치령 총독에 취임한 프레스턴 스탠리 경은 아이스하키에 큰 호기심을 보였습니다. 1892년 그는 자치령 하키챌린지컵이라고 새겨진 이 트로피를 캐나다 최고의 아마추어 아이스하키팀에 수여했습니다. 1회 우승컵은 몬트리올이 차지했습니다. 스탠리 경은 컵 경기에 한 번도 참가하지 못한 채 총독 임기가 끝나면서 영국으로 돌아갔습니다.;;;;;;;;;;;;;
EVTOPTA5002;아이스하키는 인기를 끌 것이다.;;;;;;;;;;;;;
EVTNAME5001;월드컵;;;;;;;;;;;;;
EVTDESC5001;우루과이가 개최한 제1회 세계축구선수권대회가 엄청난 성공을 거두었습니다. 적지 않은 유럽국가들이 참가하지 못했음에도 훌륭한 경기가 많았습니다. 프랑스의 루시엥 로랑이 대회 첫 골을 넣었고, 미국의 골키퍼 지미 더글러스도 대회 첫 무실점경기를 만들어냈습니다. 아르헨티나의 기예르모 스타빌레는 8골을 득점해 대최 최다득점자 자리에 올랐습니다. 하지만 무엇보다도 중요한 것은 9만 3천명의 관중이 관람한 결승전에서 우루과이가 아르헨티나를 4-2로 꺾어 우승한 것입니다!;;;;;;;;;;;;;
EVTOPTA5001;우루과이에 영광이 있으리!;;;;;;;;;;;;;
EVTNAME5000;제1회 잉글랜드 축구협회 챌린지컵 개최;;;;;;;;;;;;;
EVTDESC5000;런던에 있는 켄징턴 오발에서 오늘 제1회 잉글랜드 축구협회 챌린지컵이 최고조에 이른 시합으로 행해졌습니다. $PROVINCENAME$ 런던에 있는 켄징턴 오발에서 오늘 첫 FA컵이 최고조에 이르러 행해졌습니다. $PROVINCENAME$ 알비온은 퀸즈 파크와의 시합에 1-0으로 승리했습니다. 퀸즈 파크는 스포츠맨십을 많이 보였지만 결국 알프레드 굿윈에게 후반 득점을 빼앗기고 게임에 졌습니다.;;;;;;;;;;;;;
EVTOPTA5000;가난한 사람에게도 재밌다!;;;;;;;;;;;;;
DEFINE_ADMIRAL_EFFECT; [SUB_A7]Y$NAME$ 제독[SUB_A7]W($PER$, $BAC$)을 임관합니다.\n;;;;;;;;;;;;;
DEFINE_GENERAL_EFFECT; [SUB_A7]Y$NAME$ 장군[SUB_A7]W($PER$, $BAC$)을 임관합니다.\n;;;;;;;;;;;;;
DO_NOT_HAVE_TECH_TRI; 발명 ≠ [SUB_A7]Y$TECH$[SUB_A7]W\n;;;;;;;;;;;;;
